hhid,sectiona1,sectiona2,sectiona3,sectiona4,sectiona5,sectiona6,sectiona7,sectiona8,sectiona9,sectiona10
365,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
365,3,male,22,child,single,yes,3rd grade,yes,,agriculture
365,4,male,12,child,single,yes,2nd grade,yes,,student
365,5,female,9,child,,yes,1st grade,yes,,student
365,6,female,5,child,,yes,did not complete any schooling,yes,,livestock
365,7,female,2,child,,no,,,,
366,1,male,45,household head,married,yes,3rd grade,yes,,agriculture
366,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
366,3,male,16,child,single,yes,5th grade,yes,,student
366,4,female,12,child,single,yes,1st grade,yes,,student
366,5,female,9,child,,yes,1st grade,yes,,student
366,6,female,7,child,,yes,did not complete any schooling,yes,,livestock
366,7,female,3,child,,no,,,,
367,1,male,38,household head,married,yes,did not complete any schooling,yes,,agriculture
367,2,female,29,spouse,married,yes,did not complete any schooling,yes,,household work
367,3,female,12,child,single,yes,3rd grade,yes,,student
367,4,male,10,child,,yes,1st grade,yes,,livestock
367,5,female,8,child,,yes,did not complete any schooling,yes,,livestock
367,6,male,3,child,,no,,,,
368,1,male,37,household head,married,yes,6th grade,yes,,agriculture
368,2,female,31,spouse,married,yes,did not complete any schooling,yes,,household work
368,3,male,14,child,single,yes,6th grade,yes,,student
368,4,male,11,child,,yes,did not complete any schooling,yes,,livestock
368,5,female,7,child,,yes,did not complete any schooling,yes,,household work
368,6,female,5,child,,yes,did not complete any schooling,yes,,household work
368,7,male,1,child,,no,,,,
369,1,male,35,household head,married,yes,did not complete any schooling,yes,,agriculture
369,2,female,32,spouse,married,yes,did not complete any schooling,yes,,household work
369,3,male,15,child,single,yes,7th grade,yes,,student
369,4,male,12,child,single,yes,did not complete any schooling,yes,,livestock
369,5,male,10,child,,yes,1st grade,yes,,student
369,6,female,8,child,,yes,did not complete any schooling,yes,,livestock
369,7,male,6,child,,yes,did not complete any schooling,yes,,livestock
369,8,male,4,child,,no,,,,
370,1,male,56,household head,married,yes,3rd grade,yes,,agriculture
370,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
370,3,male,24,child,single,yes,10nth grade,yes,,agriculture
370,4,male,16,child,single,yes,6th grade,yes,,student
370,5,female,9,child,,yes,2nd grade,yes,,student
370,6,male,7,child,,yes,did not complete any schooling,yes,,livestock
370,7,male,5,child,,yes,did not complete any schooling,yes,,livestock
370,101,male,22,child,single,yes,10nth grade,yes,,student
370,102,male,19,child,single,yes,10nth grade,yes,,student
371,1,male,60,household head,married,yes,did not complete any schooling,yes,,agriculture
371,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
371,3,female,14,child,single,yes,3rd grade,yes,,student
372,1,male,32,household head,married,yes,6th grade,yes,,agriculture
372,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
372,3,male,13,child,single,yes,5th grade,yes,,student
372,4,female,11,child,,yes,3rd grade,yes,,student
372,5,female,9,child,,yes,1st grade,yes,,student
372,6,male,7,child,,yes,did not complete any schooling,yes,,livestock
373,1,male,40,household head,married,yes,did not complete any schooling,yes,,agriculture
373,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
373,3,male,20,child,single,yes,7th grade,yes,,student
373,4,male,18,child,single,yes,6th grade,yes,,student
373,5,female,16,child,single,yes,2nd grade,yes,,student
373,6,female,14,child,single,yes,2nd grade,yes,,student
373,7,male,12,child,single,yes,3rd grade,yes,,student
373,8,male,8,child,,yes,did not complete any schooling,yes,,livestock
373,9,male,5,child,,no,,,,
373,10,male,1,child,,no,,,,
374,1,male,37,household head,married,yes,did not complete any schooling,yes,,agriculture
374,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
374,3,female,14,child,single,yes,3rd grade,yes,,student
374,4,female,12,child,single,yes,1st grade,yes,,household work
374,5,female,6,child,,yes,did not complete any schooling,yes,,livestock
374,6,male,4,child,,no,,,,
374,7,female,0,child,,no,,,,
375,1,male,42,household head,married,yes,2nd grade,yes,,agriculture
375,2,female,34,spouse,married,yes,did not complete any schooling,yes,,household work
375,3,female,15,child,single,yes,8th grade,yes,,student
375,4,male,14,child,single,yes,6th grade,yes,,student
375,5,female,11,child,,yes,4th grade,yes,,student
375,6,female,9,child,,yes,4th grade,yes,,student
375,7,male,6,child,,yes,did not complete any schooling,yes,,livestock
375,8,female,2,child,,no,,,,
376,1,male,36,household head,married,yes,did not complete any schooling,yes,,agriculture
376,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
376,3,male,10,child,,yes,did not complete any schooling,yes,,agriculture
376,4,female,8,child,,yes,did not complete any schooling,no,too young,
376,5,male,4,child,,no,,,,
377,1,male,60,household head,married,yes,adult literacy program,yes,,agriculture
377,2,female,50,spouse,married,yes,adult literacy program,yes,,household work
377,3,female,22,child,single,yes,10nth grade,yes,,student
377,4,female,18,child,single,yes,10nth grade,yes,,agriculture
377,5,male,16,child,single,yes,5th grade,yes,,student
377,6,female,10,child,,yes,1st grade,yes,,student
378,1,male,27,household head,married,yes,did not complete any schooling,yes,,household work
378,2,female,24,spouse,married,yes,did not complete any schooling,yes,,agriculture
378,3,female,8,household head,,yes,did not complete any schooling,yes,,agriculture
378,4,female,5,household head,,yes,did not complete any schooling,yes,too young,agriculture
378,5,female,1,household head,,no,,,,
379,1,male,32,household head,married,yes,2nd grade,yes,,agriculture
379,2,female,28,spouse,married,yes,2nd grade,yes,,household work
379,3,female,11,child,,yes,4th grade,yes,,student
379,4,female,9,child,,yes,2nd grade,yes,,student
379,5,female,7,child,,yes,did not complete any schooling,no,too young,
379,6,female,5,child,,yes,did not complete any schooling,no,too young,
379,7,male,0,child,,no,,,,
380,1,male,47,household head,married,yes,4th grade,yes,,agriculture
380,2,female,35,spouse,married,yes,adult literacy program,yes,,household work
380,3,female,14,child,single,yes,5th grade,yes,,student
380,4,male,12,child,single,yes,3rd grade,yes,,student
380,5,male,10,child,,yes,2nd grade,yes,,student
380,6,male,7,child,,yes,did not complete any schooling,yes,,student
381,1,male,33,household head,married,yes,adult literacy program,yes,,agriculture
381,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
381,3,male,13,child,single,yes,5th grade,yes,,student
381,4,male,10,child,,yes,1st grade,yes,,student
381,5,male,7,child,,yes,did not complete any schooling,no,too young,
381,6,female,4,child,,no,,,,
382,1,male,42,household head,married,yes,3rd grade,yes,,agriculture
382,2,female,35,spouse,married,yes,6th grade,yes,,agriculture
382,3,male,17,child,single,yes,2nd grade,yes,,student
383,1,male,34,household head,married,yes,adult literacy program,yes,,agriculture
383,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
383,3,male,13,child,single,yes,3rd grade,yes,,student
383,4,female,9,child,,yes,1st grade,yes,,student
383,5,male,7,child,,yes,did not complete any schooling,no,too young,
383,6,female,4,child,,no,,,,
383,7,male,0,child,,no,,,,
384,1,female,57,household head,widowed,yes,did not complete any schooling,yes,,household work
384,2,male,24,child,single,yes,3rd grade,yes,,student
384,3,male,22,child,single,yes,did not complete any schooling,yes,,agriculture
384,4,male,20,child,single,yes,did not complete any schooling,yes,,agriculture
384,5,male,18,child,single,yes,did not complete any schooling,yes,,agriculture
384,6,male,16,child,single,yes,did not complete any schooling,yes,,livestock
385,1,male,56,household head,married,yes,did not complete any schooling,yes,,agriculture
385,2,female,48,spouse,married,yes,did not complete any schooling,yes,,household work
385,3,male,18,child,single,yes,8th grade,yes,,student
385,4,male,15,child,single,yes,2nd grade,yes,,student
385,5,female,22,child,single,yes,7th grade,yes,,student
385,6,female,19,child,single,yes,4th grade,yes,,student
386,1,male,58,household head,married,yes,adult literacy program,yes,,agriculture
386,2,female,45,spouse,married,yes,adult literacy program,yes,,household work
386,3,male,18,child,single,yes,4th grade,yes,,student
386,4,male,15,parent,single,yes,did not complete any schooling,yes,,agriculture
387,1,male,85,household head,widowed,yes,did not complete any schooling,no,too old,
387,2,male,36,child,married,yes,2nd grade,yes,,agriculture
387,3,male,14,grandchild,single,yes,4th grade,yes,,student
387,4,female,33,other relation,married,yes,did not complete any schooling,yes,,household work
387,5,male,5,grandchild,single,yes,3rd grade,yes,,student
387,6,female,12,grandchild,single,yes,2nd grade,yes,,student
387,7,female,9,grandchild,,yes,2nd grade,yes,,student
387,8,male,6,grandchild,,yes,did not complete any schooling,yes,,livestock
388,1,male,33,household head,married,yes,did not complete any schooling,yes,,agriculture
388,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
388,3,female,16,child,single,yes,1st grade,yes,,student
388,4,female,12,child,single,yes,did not complete any schooling,yes,,livestock
388,5,male,9,child,,yes,did not complete any schooling,yes,,livestock
388,6,female,7,child,,yes,did not complete any schooling,yes,,livestock
388,7,male,3,child,,no,,,,
388,8,male,18,parent,single,yes,1st grade,yes,,student
389,1,female,50,household head,widowed,yes,did not complete any schooling,yes,,household work
389,2,male,16,child,single,yes,9th grade,yes,,student
389,3,female,13,child,single,yes,did not complete any schooling,yes,,household work
389,4,female,11,child,,yes,2nd grade,yes,,student
389,101,male,27,child,single,yes,8th grade,yes,,student
389,102,male,24,child,single,yes,10nth grade,yes,,student
389,103,male,21,child,single,yes,5th grade,yes,,student
389,104,male,19,child,single,yes,10nth grade,yes,,student
390,1,male,42,household head,married,yes,adult literacy program,yes,,agriculture
390,2,female,35,spouse,married,yes,did not complete any schooling,yes,,agriculture
390,3,male,15,child,single,yes,4th grade,yes,,student
390,4,female,13,child,single,yes,1st grade,yes,,student
390,5,male,11,child,,yes,did not complete any schooling,yes,,livestock
390,6,male,8,child,,yes,did not complete any schooling,yes,,livestock
390,7,male,7,child,,yes,did not complete any schooling,yes,,livestock
390,8,female,4,child,,no,,,,
391,1,male,50,household head,married,yes,adult literacy program,yes,,agriculture
391,2,female,48,spouse,married,yes,adult literacy program,yes,,agriculture
391,3,male,13,child,single,yes,7th grade,yes,,student
391,4,male,11,child,,yes,did not complete any schooling,yes,,livestock
391,5,female,6,child,,yes,did not complete any schooling,yes,,household work
391,6,male,22,not related,single,yes,did not complete any schooling,no,student,
392,1,male,32,household head,married,yes,did not complete any schooling,yes,,agriculture
392,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
392,3,male,11,child,,yes,1st grade,yes,,student
392,4,male,9,child,,yes,1st grade,yes,,student
392,5,female,6,child,,yes,did not complete any schooling,no,too young,
392,6,female,3,child,,yes,2nd grade,,,
393,1,male,62,household head,married,yes,did not complete any schooling,yes,,agriculture
393,2,female,48,spouse,married,yes,did not complete any schooling,yes,,household work
393,3,male,22,child,single,yes,10nth grade,yes,,student
393,4,female,16,child,single,yes,9th grade,yes,,student
393,5,male,12,child,single,yes,1st grade,yes,,student
393,6,male,6,grandchild,,yes,did not complete any schooling,no,too young,
394,1,female,70,household head,widowed,yes,did not complete any schooling,yes,,agriculture
394,2,female,7,grandchild,,yes,did not complete any schooling,yes,,household work
394,3,female,5,grandchild,,yes,did not complete any schooling,no,too young,
395,1,male,45,household head,married,yes,adult literacy program,yes,,agriculture
395,2,female,37,spouse,married,yes,did not complete any schooling,yes,,household work
395,3,male,18,child,single,yes,5th grade,yes,,student
395,4,female,16,child,single,yes,2nd grade,yes,,student
395,5,female,14,child,single,yes,1st grade,yes,,student
395,6,female,7,child,,yes,did not complete any schooling,yes,,livestock
395,7,female,5,child,,yes,did not complete any schooling,no,too young,
395,8,female,3,child,,no,,,,
395,9,male,0,child,,no,,,,
396,1,male,57,household head,married,yes,did not complete any schooling,yes,,agriculture
396,2,female,55,spouse,married,yes,did not complete any schooling,yes,,household work
396,3,female,13,child,single,yes,2nd grade,yes,,student
396,4,male,11,child,,yes,1st grade,yes,,student
396,5,male,8,child,,yes,did not complete any schooling,no,too young,
396,6,male,4,child,,no,,,,
396,7,female,11,grandchild,,yes,2nd grade,yes,,agriculture
396,8,female,11,grandchild,,yes,2nd grade,yes,,agriculture
396,9,female,5,grandchild,,yes,did not complete any schooling,no,too young,
396,101,female,17,child,single,yes,8th grade,no,student,
396,102,female,15,child,single,yes,8th grade,no,student,
397,1,male,56,household head,married,yes,did not complete any schooling,yes,,agriculture
397,2,female,48,spouse,married,yes,did not complete any schooling,yes,,household work
397,3,female,29,child,separated,yes,did not complete any schooling,yes,,household work
397,4,male,22,child,single,yes,4th grade,yes,,student
397,5,male,18,child,single,yes,3rd grade,yes,,student
398,1,male,46,household head,married,yes,adult literacy program,yes,,agriculture
398,2,female,35,spouse,married,yes,did not complete any schooling,yes,,agriculture
398,3,male,14,child,single,yes,2nd grade,yes,,student
398,4,female,11,child,,yes,1st grade,yes,,student
398,5,female,7,child,,yes,1st grade,yes,,student
399,1,male,40,household head,married,yes,did not complete any schooling,yes,,agriculture
399,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
399,3,male,12,child,single,yes,1st grade,yes,,student
399,4,female,8,child,,yes,did not complete any schooling,no,too young,
399,5,male,15,child,single,yes,6th grade,yes,,student
400,1,male,60,household head,married,yes,did not complete any schooling,yes,,agriculture
400,2,female,44,spouse,married,yes,did not complete any schooling,yes,,household work
400,3,male,18,child,single,yes,did not complete any schooling,yes,,household work
400,4,female,12,child,single,yes,7th grade,yes,,student
400,5,female,10,child,,yes,7th grade,yes,,household work
400,6,male,16,child,single,yes,did not complete any schooling,yes,,agriculture
400,7,female,8,child,,yes,did not complete any schooling,yes,,livestock
400,8,female,7,child,,yes,did not complete any schooling,yes,,livestock
400,9,female,5,child,,yes,did not complete any schooling,no,too young,
400,10,male,14,child,single,yes,3rd grade,yes,,student
6,1,male,28,household head,married,yes,9th grade,yes,,commerce
6,2,female,21,spouse,married,yes,12th grade,yes,,commerce
6,3,male,0,child,,no,,,,
7,1,male,40,household head,married,yes,adult literacy program,yes,,agriculture
7,2,female,38,spouse,married,yes,8th grade,yes,,household work
7,3,female,16,child,divorced,yes,6th grade,yes,,agriculture
7,4,male,13,child,single,yes,6th grade,no,student,
7,5,male,10,child,,yes,4th grade,no,student,
7,6,female,8,child,,yes,2nd grade,no,student,
8,1,male,28,household head,married,yes,2nd grade,yes,,agriculture
8,2,female,25,spouse,married,yes,6th grade,yes,,agriculture
8,3,female,4,child,,no,,,,
9,1,male,27,household head,married,yes,did not complete any schooling,yes,,agriculture
9,2,female,21,spouse,married,yes,4th grade,yes,,household work
9,3,female,4,child,,no,,,,
10,1,male,68,household head,married,yes,4th grade,yes,,agriculture
10,2,female,65,spouse,married,yes,did not complete any schooling,yes,,agriculture
10,3,male,30,child,divorced,yes,7th grade,yes,,agriculture
10,4,male,25,child,married,yes,9th grade,no,student,
10,5,female,16,grandchild,single,yes,10nth grade,no,student,
10,6,male,13,grandchild,single,yes,1st grade,no,student,
10,7,male,3,other relation,,no,,,,
801,1,male,42,household head,married,yes,did not complete any schooling,yes,,agriculture
801,2,female,36,spouse,married,yes,did not complete any schooling,yes,,household work
801,3,male,18,child,single,yes,4th grade,yes,,household work
801,4,female,15,child,single,yes,7th grade,yes,,student
801,5,male,12,child,single,yes,1st grade,yes,,student
801,6,female,9,child,,yes,2nd grade,yes,,student
801,7,female,6,child,,yes,did not complete any schooling,no,too young,
802,1,female,57,household head,widowed,yes,did not complete any schooling,yes,,household work
802,2,female,13,grandchild,single,yes,4th grade,yes,,student
803,1,female,65,household head,widowed,yes,did not complete any schooling,yes,,household work
804,1,male,23,household head,married,yes,did not complete any schooling,yes,,agriculture
804,2,female,21,spouse,married,yes,did not complete any schooling,yes,,household work
804,3,female,2,child,,no,,,,
805,1,male,55,household head,married,yes,did not complete any schooling,yes,,agriculture
805,2,female,48,spouse,married,yes,did not complete any schooling,yes,,household work
805,3,male,28,child,divorced,yes,8th grade,yes,,agriculture
805,4,female,18,child,married,yes,5th grade,yes,,household work
805,5,female,16,child,single,yes,8th grade,yes,,student
805,6,female,12,child,single,yes,1st grade,yes,,student
805,7,female,8,child,,yes,did not complete any schooling,yes,,student
805,8,male,4,child,,no,,,,
806,1,male,72,household head,married,yes,did not complete any schooling,yes,,agriculture
806,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
806,3,male,23,child,single,yes,10nth grade,yes,,agriculture
806,4,male,21,child,married,yes,some church/mosque school,yes,,agriculture
806,5,female,17,child,single,yes,8th grade,yes,,agriculture
806,6,male,15,child,single,yes,10nth grade,yes,,agriculture
806,7,male,12,child,single,yes,4th grade,yes,,agriculture
806,8,male,9,child,,yes,3rd grade,no,too young,
806,9,male,8,child,,yes,did not complete any schooling,no,too young,
806,10,female,5,child,,yes,did not complete any schooling,no,too young,
806,101,female,18,child,single,yes,10nth grade,no,student,
806,102,male,14,child,single,yes,9th grade,no,student,
807,1,male,66,household head,married,yes,other literacy program,yes,,agriculture
807,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
807,3,female,13,other relation,single,yes,3rd grade,yes,,student
808,1,male,43,household head,married,yes,adult literacy program,yes,,agriculture
808,2,female,27,spouse,married,yes,adult literacy program,yes,,household work
808,3,male,23,child,divorced,yes,1st grade,yes,,agriculture
808,4,male,20,child,divorced,yes,1st grade,yes,,student
808,5,male,15,child,single,yes,1st grade,yes,,student
808,6,female,0,child,,no,,,,
809,1,male,51,household head,married,yes,adult literacy program,yes,,agriculture
809,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
809,3,male,26,child,single,yes,12th grade,yes,,student
809,4,female,11,child,,yes,4th grade,yes,,student
809,5,male,9,child,,yes,1st grade,yes,,student
809,6,female,7,child,,yes,did not complete any schooling,no,too young,
809,7,male,4,child,,no,,,,
810,1,male,60,household head,married,yes,adult literacy program,yes,,agriculture
810,2,female,54,spouse,married,yes,did not complete any schooling,yes,,household work
810,3,male,27,child,single,yes,10nth grade,yes,,student
810,4,female,22,child,divorced,yes,6th grade,yes,,household work
810,5,male,19,child,single,yes,5th grade,yes,,agriculture
810,6,female,14,child,divorced,yes,6th grade,yes,,student
810,7,male,11,child,,yes,2nd grade,yes,,student
810,8,female,9,child,,yes,1st grade,yes,,student
811,1,female,70,household head,widowed,yes,did not complete any schooling,yes,,agriculture
811,2,male,28,child,single,yes,12th grade,no,student,
811,3,female,26,child,single,yes,9th grade,no,student,
811,4,male,23,child,single,yes,6th grade,no,student,
811,5,male,13,grandchild,single,yes,9th grade,no,student,
811,6,male,27,child,married,yes,5th grade,yes,,agriculture
812,1,male,60,household head,married,yes,adult literacy program,yes,,agriculture
812,2,female,45,child,married,yes,did not complete any schooling,yes,,household work
812,3,male,27,child,married,yes,9th grade,yes,,agriculture
812,4,male,25,child,single,yes,some church/mosque school,yes,,agriculture
812,5,male,20,child,single,yes,10nth grade,no,student,
812,101,male,18,child,single,yes,incomplete higher education (not university),no,student,
813,1,male,28,household head,married,yes,did not complete any schooling,yes,,agriculture
813,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
813,3,female,11,child,,yes,1st grade,no,student,
813,4,female,7,child,,yes,did not complete any schooling,no,too young,
813,5,male,3,child,,no,,,,
814,1,male,37,household head,married,yes,did not complete any schooling,yes,,agriculture
814,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
814,3,male,20,other relation,single,yes,4th grade,yes,,agriculture
814,4,female,15,other relation,single,yes,6th grade,no,student,
814,5,male,3,child,,no,,,,
815,1,male,35,household head,married,yes,4th grade,yes,,agriculture
815,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
815,3,female,15,child,single,yes,8th grade,no,student,
815,4,female,13,child,single,yes,3rd grade,no,student,
815,5,male,7,child,,yes,1st grade,no,student,
816,1,male,63,household head,married,yes,did not complete any schooling,yes,,agriculture
816,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
816,3,male,15,child,single,yes,10nth grade,yes,,student
816,4,female,8,child,,yes,4th grade,no,too young,
817,1,female,65,household head,married,yes,did not complete any schooling,yes,,household work
817,2,female,26,child,married,yes,did not complete any schooling,yes,,household work
817,3,male,38,other relation,married,yes,adult literacy program,yes,,agriculture
817,4,male,15,grandchild,single,yes,1st grade,yes,,student
817,5,male,12,grandchild,single,yes,2nd grade,no,student,
817,6,male,7,grandchild,,yes,did not complete any schooling,no,too young,
817,7,male,0,grandchild,,no,,,,
818,1,female,20,household head,divorced,yes,did not complete any schooling,yes,,agriculture
818,2,male,0,child,,no,,,,
819,1,male,35,household head,married,yes,did not complete any schooling,yes,,agriculture
819,2,female,33,spouse,married,yes,did not complete any schooling,yes,,household work
819,3,female,12,child,single,yes,4th grade,yes,,student
819,4,female,9,child,,yes,2nd grade,no,student,
819,5,female,7,child,,yes,did not complete any schooling,no,too young,
819,6,female,6,child,,yes,did not complete any schooling,no,too young,
819,7,female,3,child,,no,,,,
819,8,male,2,child,,no,,,,
819,9,female,0,child,,no,,,,
819,101,female,18,child,single,yes,10nth grade,no,student,
820,1,male,36,household head,married,yes,did not complete any schooling,yes,,agriculture
820,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
820,3,male,16,child,single,yes,6th grade,yes,,student
820,4,male,9,child,,yes,1st grade,no,student,
820,5,male,7,child,,yes,did not complete any schooling,no,too young,
820,6,female,4,child,,no,,,,
821,1,male,46,household head,married,yes,6th grade,yes,,agriculture
821,2,female,44,spouse,married,yes,did not complete any schooling,yes,,household work
821,3,female,30,child,married,yes,did not complete any schooling,yes,,household work
821,4,female,18,child,married,yes,8th grade,no,student,
821,5,male,3,child,,no,,,,
821,6,female,5,child,,yes,did not complete any schooling,no,too young,
821,7,male,22,child,married,yes,12th grade,no,student,
821,8,male,12,child,married,yes,3rd grade,no,student,
822,1,male,45,household head,married,yes,did not complete any schooling,yes,,agriculture
822,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
822,3,female,22,child,divorced,yes,did not complete any schooling,yes,,household work
822,4,male,18,child,single,yes,5th grade,no,student,
822,5,female,12,child,single,yes,3rd grade,no,student,
822,6,female,10,child,,yes,did not complete any schooling,no,too young,
822,7,female,5,child,,yes,did not complete any schooling,no,too young,
822,8,female,3,child,,no,,,,
822,9,female,1,child,,no,,,,
823,1,female,50,household head,widowed,yes,1st grade,yes,,household work
823,2,female,15,child,single,yes,3rd grade,yes,,livestock
823,3,female,5,grandchild,,yes,did not complete any schooling,no,too young,
824,1,female,37,household head,married,yes,did not complete any schooling,yes,,agriculture
824,2,female,10,child,,yes,2nd grade,yes,,student
825,1,male,30,household head,married,yes,did not complete any schooling,yes,,agriculture
825,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
825,3,female,9,child,,yes,did not complete any schooling,no,too young,
825,4,female,5,child,,yes,did not complete any schooling,no,too young,
825,5,male,1,child,,no,,,,
826,1,male,31,household head,married,yes,did not complete any schooling,yes,,agriculture
826,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
826,3,male,11,child,,yes,1st grade,yes,,student
826,4,male,10,child,,yes,did not complete any schooling,no,too young,
826,5,male,8,child,,yes,did not complete any schooling,no,too young,
827,1,male,32,household head,married,yes,adult literacy program,yes,,agriculture
827,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
827,3,female,13,child,single,yes,3rd grade,yes,,student
827,4,female,10,child,,yes,did not complete any schooling,yes,,student
827,5,female,6,child,,yes,did not complete any schooling,no,too young,
827,6,female,4,child,,no,,,,
827,7,male,0,child,,no,,,,
827,8,female,0,child,,no,,,,
828,1,male,55,household head,married,yes,adult literacy program,yes,,agriculture
828,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
828,3,female,70,not related,divorced,yes,did not complete any schooling,yes,,household work
828,4,female,25,child,divorced,yes,5th grade,yes,,student
828,5,female,18,child,single,yes,1st grade,yes,,student
828,6,male,16,child,single,yes,did not complete any schooling,yes,,student
828,7,male,7,child,,yes,did not complete any schooling,no,too young,
828,8,female,1,child,,no,,,,
829,1,male,64,household head,married,yes,adult literacy program,yes,,agriculture
829,2,female,55,spouse,married,yes,did not complete any schooling,yes,,household work
830,1,male,45,household head,married,yes,7th grade,yes,,agriculture
830,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
830,3,male,18,child,single,yes,8th grade,yes,,student
830,4,male,14,child,single,yes,some church/mosque school,yes,,agriculture
830,5,male,6,child,,yes,did not complete any schooling,no,too young,
830,6,female,3,child,,no,,,,
830,7,female,2,child,,no,,,,
830,101,female,12,child,single,yes,6th grade,no,student,
831,1,female,40,household head,married,yes,did not complete any schooling,yes,,agriculture
831,2,female,20,child,single,yes,did not complete any schooling,yes,,agriculture
831,3,male,15,child,single,yes,6th grade,yes,,agriculture
831,4,female,12,child,single,yes,2nd grade,no,student,
831,5,female,4,child,,no,,,,
831,6,female,3,child,,no,,,,
831,7,female,1,child,,no,,,,
832,1,male,38,household head,married,yes,did not complete any schooling,yes,,agriculture
832,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
832,3,male,7,child,,yes,did not complete any schooling,no,too young,
832,4,female,3,child,,no,,,,
832,5,female,0,child,,no,,,,
833,1,male,30,household head,married,yes,1st grade,yes,,agriculture
833,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
833,3,female,9,child,,yes,2nd grade,no,student,
833,4,male,5,child,,yes,did not complete any schooling,no,too young,
833,5,male,2,child,,no,,,,
834,1,male,46,household head,married,yes,did not complete any schooling,yes,,agriculture
834,2,female,38,spouse,married,yes,did not complete any schooling,yes,,household work
834,3,female,20,child,married,yes,did not complete any schooling,yes,,agriculture
834,4,female,15,child,separated,yes,did not complete any schooling,yes,,household work
834,5,male,13,child,single,yes,1st grade,yes,,household work
834,6,female,8,child,,yes,did not complete any schooling,yes,,household work
835,1,female,64,household head,widowed,yes,did not complete any schooling,yes,,agriculture
835,2,male,24,child,divorced,yes,10nth grade,yes,,household work
835,3,female,22,child,single,yes,4th grade,no,student,
835,4,female,20,child,single,yes,did not complete any schooling,no,cannot find employment,
835,5,female,18,child,single,yes,3rd grade,no,sick,
836,1,male,42,household head,married,yes,did not complete any schooling,yes,,agriculture
836,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
836,3,female,12,child,single,yes,2nd grade,no,student,
836,4,male,5,child,,yes,did not complete any schooling,no,too young,
837,1,male,47,household head,married,yes,adult literacy program,yes,,agriculture
837,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
837,3,male,10,child,,yes,2nd grade,no,student,
838,1,male,42,household head,married,yes,did not complete any schooling,yes,,agriculture
838,2,female,38,spouse,married,yes,did not complete any schooling,yes,,household work
838,3,male,24,child,single,yes,12th grade,yes,,agriculture
838,4,male,21,child,single,yes,6th grade,yes,,agriculture
838,5,male,12,child,single,yes,2nd grade,no,student,
838,6,female,6,child,,yes,did not complete any schooling,no,too young,
839,1,male,39,household head,married,yes,did not complete any schooling,yes,,agriculture
839,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
839,3,female,19,child,divorced,yes,did not complete any schooling,yes,,agriculture
839,4,male,13,child,single,yes,3rd grade,no,student,
839,5,male,8,child,,yes,did not complete any schooling,no,too young,
839,6,male,6,child,,yes,did not complete any schooling,no,too young,
839,7,female,2,child,,no,,,,
840,1,male,68,household head,married,yes,did not complete any schooling,yes,,agriculture
840,2,female,55,spouse,married,yes,did not complete any schooling,yes,,household work
840,3,male,11,child,,yes,4th grade,yes,,student
840,4,female,10,grandchild,,yes,4th grade,no,student,
840,5,male,8,grandchild,,yes,3rd grade,no,student,
840,6,male,5,grandchild,,yes,did not complete any schooling,no,too young,
840,7,female,4,grandchild,,no,,,,
841,1,male,69,household head,married,yes,did not complete any schooling,yes,,agriculture
841,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
841,3,male,10,child,,yes,2nd grade,no,student,
842,1,male,50,household head,married,yes,did not complete any schooling,yes,,agriculture
842,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
842,3,female,23,child,married,yes,5th grade,yes,,household work
842,4,male,17,child,single,yes,6th grade,yes,,student
