hhid,sectionc1,sectionc2a,sectionc2b,sectionc2c,sectionc3,sectionc4,sectionc5,sectionc6,sectionc7,sectionc8,sectionc9a,sectionc9b,sectionc10,sectionc11,sectionc12,sectionc13
367,8,1,kert,.25,lem-teuf,20,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
368,1,2,kert,.5,lem,2,rain,24,yes,inherited,yes,yes,,,annual crop,1
368,2,1.5,kert,.375,lem,20,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
368,3,2,kert,.5,lem-teuf,20,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
368,4,2,kert,.5,lem,25,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
368,5,2,kert,.5,lem-teuf,20,rain,2,"no, we rent it from others",,,,,500,annual crop,1
368,6,2,kert,.5,lem-teuf,15,rain,2,"no, we rent it from others",,,,,500,annual crop,1
368,7,2,kert,.5,lem-teuf,30,rain,24,yes,inherited,yes,yes,,,annual crop,1
368,8,1,kert,.25,lem-teuf,30,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
368,9,.5,kert,.125,lem-teuf,30,rain,2,yes,inherited,yes,yes,,,annual crop,1
368,10,1,kert,.25,lem-teuf,10,rain,14,yes,inherited,yes,yes,,,annual crop,1
368,11,.5,kert,.125,lem-teuf,10,rain,14,yes,inherited,yes,yes,,,livestock/grazing,
369,1,4,kert,.5,lem-teuf,0,rain,3,yes,allocated by family,yes,yes,,,annual crop,1
369,2,4,kert,.5,lem-teuf,10,rain,10,yes,allocated by family,yes,yes,,,annual crop,1
369,3,10,kert,1.25,teuf,60,rain,5,yes,allocated by government,yes,yes,,,annual crop,1
369,4,2,kert,.25,lem,0,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
369,5,5,kert,.625,lem,60,rain,15,yes,allocated by government,yes,yes,,,livestock/grazing,
370,1,4,kert,.5,lem-teuf,0,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
370,2,3,kert,.375,teuf,10,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
370,3,3,kert,.375,lem-teuf,0,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
370,4,6,kert,.625,teuf,40,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
370,5,1,kert,.125,lem,0,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
371,1,8,kert,1,lem-teuf,30,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
371,2,8,kert,1,lem-teuf,0,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
371,3,2,kert,.25,teuf,60,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
371,4,1,kert,.125,lem,0,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
371,5,20,kert,2.5,lem,60,rain,38,yes,allocated by government,yes,yes,,,livestock/grazing,
372,1,4,kert,.5,lem-teuf,20,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
372,2,10,kert,1.25,lem-teuf,20,rain,2,"no, we rent it from others",,,,,2000,annual crop,1
372,3,3,kert,.375,lem-teuf,0,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
372,4,4,kert,.5,lem,0,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
372,5,2,kert,.25,lem,0,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
372,6,2,kert,.25,lem,0,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
372,7,3,kert,.375,lem,0,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
373,1,7,kert,.875,lem-teuf,0,rain,15,"no, we share-cropped in",,,,.5,not available,annual crop,1
373,2,4,kert,.5,lem,0,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
373,3,6,kert,.75,lem-teuf,10,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
373,4,10,kert,1.25,teuf,10,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
374,1,4,kert,1,lem-teuf,20,rain,9,"no, we share-cropped in",,,,.5,not available,annual crop,1
374,2,1.5,kert,.375,lem-teuf,15,rain,28,yes,allocated by family,yes,yes,,,annual crop,1
374,3,1.5,kert,.375,lem,30,rain,9,"no, we share-cropped in",,,,.5,not available,annual crop,1
374,4,1,kert,.25,lem,10,rain,28,yes,allocated by family,yes,yes,,,annual crop,1
374,5,1,kert,.25,lem-teuf,15,rain,9,"no, we share-cropped in",,,,.5,not available,annual crop,1
374,6,1,kert,.25,lem-teuf,20,rain,9,"no, we share-cropped in",,,,.5,not available,annual crop,1
374,7,1,kert,.25,teuf,15,rain,28,yes,allocated by family,yes,yes,,,livestock/grazing,
375,1,2,kert,.5,lem,6,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
375,2,3,kert,.75,lem-teuf,30,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
375,3,.5,kert,.125,lem-teuf,10,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
375,4,.5,kert,.125,lem-teuf,15,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
375,5,1,kert,.25,lem-teuf,2,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
375,6,1,kert,.25,lem-teuf,3,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
375,7,3,kert,.75,lem-teuf,20,rain,6,"no, we rent it from others",,,,,4600,annual crop,1
375,8,2,kert,.5,lem,15,rain,20,"no, we rent it from others",,,,,1500,annual crop,1
375,9,1,kert,.25,lem-teuf,3,rain,2,"no, we rent it from others",,,,,1550,annual crop,1
375,10,2,kert,.5,lem-teuf,4,rain,3,"no, we rent it from others",,,,,4900,annual crop,1
376,1,1,kert,.25,lem,20,rain,14,yes,allocated by family,yes,yes,,,annual crop,1
376,2,1,kert,.25,lem,10,rain,14,yes,allocated by family,yes,yes,,,annual crop,1
376,3,2,kert,.25,lem-teuf,25,rain,5,"no, we rent it from others",,,,,1200,annual crop,1
376,4,2,kert,.25,lem,30,rain,5,"no, we rent it from others",,,,,1200,annual crop,1
376,5,3,kert,.75,lem-teuf,20,rain,7,"no, we rent it from others",,,,,1800,annual crop,1
376,6,6,kert,1.5,lem,15,rain,5,"no, we rent it from others",,,,,600,annual crop,1
376,7,1,kert,.25,lem-teuf,5,rain,8,"no, we rent it from others",,,,,3600,annual crop,1
377,1,2,timad,.25,lem,0,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
377,2,10,timad,1.25,lem-teuf,5,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
377,3,6,timad,.75,lem-teuf,5,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
377,4,8,timad,1,teuf,10,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
377,5,1.5,timad,.1875,lem-teuf,2,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
377,6,4,timad,.5,lem-teuf,15,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
377,7,4,timad,.5,lem-teuf,15,rain,38,yes,allocated by government,"no, we sharecrop it out","no, we sharecrop it out",.5,,annual crop,1
377,8,1,timad,.125,lem,2,rain,38,yes,allocated by government,yes,yes,,,livestock/grazing,
378,1,2,kert,.5,lem,15,rain,12,yes,allocated by family,yes,yes,,,annual crop,1
378,2,3,kert,.75,teuf,10,rain,12,yes,allocated by family,yes,yes,,,annual crop,1
378,3,1,kert,.25,teuf,5,rain,12,yes,allocated by family,yes,yes,,,annual crop,1
378,4,1,kert,.25,lem-teuf,15,rain,12,yes,allocated by family,yes,yes,,,annual crop,1
378,5,2,kert,.5,lem,20,rain,5,"no, we share-cropped in",,,,.5,not available,annual crop,1
378,6,2,kert,.5,lem-teuf,30,rain,5,"no, we share-cropped in",,,,.5,not available,annual crop,1
378,7,1,kert,.25,lem-teuf,30,rain,5,"no, we share-cropped in",,,,.5,not available,annual crop,1
378,8,2,kert,.5,lem,30,rain,3,"no, we share-cropped in",,,,.5,not available,annual crop,1
378,9,1,kert,.25,lem-teuf,2,rain,12,yes,allocated by family,yes,yes,,,livestock/grazing,
379,1,3,timad,.375,lem-teuf,10,rain,4,yes,inherited,yes,yes,,,annual crop,1
379,2,2,timad,.25,teuf,15,rain,4,yes,inherited,yes,yes,,,annual crop,1
379,3,1,timad,.125,teuf,10,rain,4,yes,inherited,yes,yes,,,annual crop,1
379,4,6,timad,.75,teuf,10,rain,4,yes,inherited,yes,yes,,,annual crop,1
379,5,1,timad,.125,lem-teuf,15,rain,6,yes,allocated by family,yes,yes,,,annual crop,1
379,6,1,timad,.125,teuf,15,rain,6,yes,allocated by family,yes,yes,,,livestock/grazing,
379,7,1,timad,.125,lem,15,rain,6,yes,allocated by family,yes,yes,,,annual crop,1
379,8,3,timad,.375,lem,20,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
380,1,4,kert,.66000003,lem,0,rain,19,yes,allocated by government,yes,yes,,,livestock/grazing,
380,2,4,kert,.66000003,lem,4,rain,19,yes,allocated by government,yes,yes,,,annual crop,1
380,3,4,kert,.66000003,lem,5,rain,19,yes,allocated by government,yes,yes,,,annual crop,1
380,4,1,kert,.16,lem,2,rain,19,yes,allocated by government,yes,yes,,,annual crop,1
381,1,2,kert,.33000001,lem,2,rain,20,yes,allocated by family,yes,yes,,,annual crop,1
381,2,1.5,kert,.25,lem,20,rain,20,yes,allocated by family,yes,yes,,,annual crop,1
381,3,1,kert,.16599999,lem,20,rain,20,yes,allocated by family,yes,yes,,,annual crop,1
381,4,1,kert,.16599999,lem,2,rain,20,yes,allocated by family,yes,yes,,,annual crop,1
382,1,2,kert,.33000001,lem,30,rain,21,yes,allocated by government,yes,yes,,,annual crop,1
382,2,2,kert,.33000001,lem,0,rain,21,yes,allocated by government,yes,yes,,,livestock/grazing,
382,3,3,kert,.5,lem,20,rain,21,yes,allocated by government,"no, we sharecrop it out","no, we sharecrop it out",.5,,annual crop,1
382,4,1,kert,.16599999,lem,10,rain,21,yes,allocated by government,"no, we sharecrop it out","no, we sharecrop it out",.5,,annual crop,1
383,1,2,kert,.33000001,lem-teuf,20,rain,17,yes,allocated by family,yes,yes,,,annual crop,1
383,2,1,kert,.167,lem-teuf,20,rain,17,yes,allocated by family,yes,yes,,,annual crop,1
383,3,1,kert,.167,lem-teuf,15,rain,17,yes,allocated by family,yes,yes,,,annual crop,1
383,4,.5,kert,.079999998,lem,0,rain,17,yes,allocated by family,yes,yes,,,livestock/grazing,
383,5,1,kert,.167,lem-teuf,20,rain,3,"no, we share-cropped in",,,,.5,not available,annual crop,1
383,6,1,kert,.167,lem-teuf,20,rain,3,"no, we rent it from others",,,,,333,annual crop,1
384,1,2,kert,.33000001,lem-teuf,5,rain,14,yes,inherited,yes,yes,,,annual crop,1
384,2,1,kert,.16599999,lem-teuf,5,rain,14,yes,inherited,yes,yes,,,annual crop,1
384,3,1.5,kert,.25,lem-teuf,60,rain,14,yes,inherited,yes,yes,,,annual crop,1
384,4,.5,kert,.082999997,lem-teuf,5,rain,14,yes,inherited,yes,yes,,,annual crop,1
384,5,.5,kert,.082999997,lem-teuf,5,rain,14,yes,inherited,yes,yes,,,livestock/grazing,
385,1,2,kert,.33000001,lem-teuf,15,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
385,2,2,kert,.33000001,lem-teuf,15,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
385,3,1,kert,.16,lem,15,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
385,4,2,kert,.33000001,lem,20,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
385,5,3,kert,.5,lem,20,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
385,6,1,kert,.16,lem,15,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
385,7,2,kert,.33000001,lem,15,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
385,8,2,kert,.33000001,lem,0,rain,22,yes,allocated by government,yes,yes,,,livestock/grazing,
386,1,4,kert,.67000002,lem-teuf,2,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
386,2,3,kert,.5,lem-teuf,2,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
386,3,1.5,kert,.25,lem-teuf,2,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
386,4,3,kert,.5,lem-teuf,4,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
386,5,2,kert,.33000001,lem-teuf,4,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
386,6,3,kert,.5,lem-teuf,5,rain,6,"no, we rent it from others",,,,,400,annual crop,1
387,1,2,kert,.33000001,teuf,20,rain,3,yes,purchased,yes,yes,,,annual crop,1
387,2,4,kert,.66000003,lem-teuf,15,rain,5,yes,purchased,yes,yes,,,annual crop,1
387,3,4,kert,.66000003,teuf,10,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
387,4,3,kert,.5,lem-teuf,20,rain,6,"no, we rent it from others",,,,,3200,annual crop,1
387,5,10,kert,1.66,lem-teuf,10,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
387,6,2,kert,.33000001,teuf,0,rain,2,yes,purchased,yes,yes,,,annual crop,1
387,7,2,kert,.33000001,lem-teuf,10,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
387,8,2,kert,.33000001,lem-teuf,0,rain,2,yes,purchased,yes,yes,,,annual crop,1
387,9,2,kert,.33000001,teuf,25,rain,3,yes,purchased,yes,yes,,,annual crop,1
387,10,3,kert,.5,lem,0,rain,22,yes,allocated by government,yes,yes,,,livestock/grazing,
388,1,.5,kert,.079999998,lem-teuf,0,rain,10,yes,allocated by family,yes,yes,,,livestock/grazing,
388,2,2,kert,.33000001,lem-teuf,10,rain,10,yes,allocated by family,yes,yes,,,annual crop,1
388,3,3,kert,.5,lem,15,rain,10,yes,allocated by family,yes,yes,,,annual crop,1
388,4,6,kert,1,teuf,6,rain,10,yes,allocated by family,yes,yes,,,annual crop,1
388,5,2,kert,.33000001,lem,7,rain,10,yes,allocated by family,yes,yes,,,livestock/grazing,
388,6,1,kert,.16,lem,0,rain,10,yes,allocated by family,yes,yes,,,livestock/grazing,
388,7,6,kert,1,lem,6,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
388,8,1,kert,.16,lem,6,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
389,1,3,kert,.5,lem-teuf,0,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
389,2,2,kert,.33000001,lem-teuf,0,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
389,3,2,kert,.33000001,lem-teuf,0,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
389,4,2,kert,.33000001,lem-teuf,0,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
389,5,3,kert,.5,lem-teuf,0,rain,22,yes,allocated by government,yes,yes,,,annual crop,1
389,6,2,kert,.33000001,lem,0,rain,22,yes,allocated by government,yes,yes,,,livestock/grazing,
390,1,5,kert,1.25,lem,0,rain,21,yes,allocated by government,yes,yes,,,annual crop,2
390,2,2,kert,.5,lem,10,rain,17,"no, we share-cropped in",,,,.5,not available,annual crop,1
390,3,1,kert,.25,lem-teuf,7,rain,3,"no, we share-cropped in",,,,.5,not available,annual crop,1
390,4,2,kert,.5,lem,10,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
390,5,1,kert,.25,teuf,60,rain,3,"no, we rent it from others",,,,,1000,annual crop,1
390,6,1,kert,.25,lem,65,rain,3,"no, we rent it from others",,,,,400,annual crop,1
390,7,1.5,kert,.375,lem-teuf,0,rain,21,yes,allocated by government,yes,yes,,,annual crop,1
390,8,1.5,kert,.375,lem,5,rain,21,yes,allocated by government,yes,yes,,,wood lots,
390,9,1,kert,.25,lem-teuf,30,rain,21,yes,allocated by government,yes,yes,,,annual crop,1
391,1,2,kert,.5,lem-teuf,2,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
391,2,2,kert,.5,lem,15,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
391,3,2,kert,.5,lem-teuf,10,rain,30,yes,allocated by government,yes,yes,,,annual crop,1
391,4,1,kert,.25,lem-teuf,20,rain,30,yes,allocated by government,yes,yes,,,annual crop,1
391,5,1,kert,.25,lem-teuf,5,rain,30,yes,allocated by government,yes,yes,,,annual crop,1
391,6,3,kert,.5,lem,30,rain,30,yes,allocated by government,yes,yes,,,annual crop,1
391,7,2,kert,.5,lem,3,rain,30,yes,allocated by government,yes,yes,,,annual crop,1
391,8,.25,kert,.0625,lem-teuf,0,rain,30,yes,allocated by government,yes,yes,,,fallow,
391,9,1.5,kert,.375,lem-teuf,3,rain,1,"no, we rent it from others",,,,,1000,annual crop,1
392,1,4,kert,1,lem,0,rain,6,yes,allocated by family,yes,yes,,,livestock/grazing,
392,2,1,kert,.25,lem,30,rain,6,yes,allocated by family,yes,yes,,,annual crop,1
392,3,1,kert,.25,lem,15,rain,6,yes,allocated by family,yes,yes,,,annual crop,1
392,4,5,kert,1.25,lem,5,rain,6,yes,allocated by family,yes,yes,,,annual crop,1
392,5,2,kert,.5,lem-teuf,60,rain,11,yes,allocated by family,yes,yes,,,annual crop,1
392,6,1,kert,.25,lem,5,rain,6,yes,allocated by family,yes,yes,,,annual crop,1
392,7,1,kert,.25,lem,15,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
392,8,2,kert,.5,lem-teuf,30,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
392,9,2,kert,.5,lem-teuf,60,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
393,1,2,kert,.5,lem,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
393,2,2,kert,.5,lem,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
393,3,1.5,kert,.375,lem-teuf,5,rain,1,"no, we share-cropped in",allocated by government,,,.5,not available,annual crop,1
393,4,1.5,kert,.375,lem-teuf,5,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
393,5,3,kert,.75,lem-teuf,5,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
393,6,1.5,kert,.375,teuf,8,rain,12,"no, we share-cropped in",,,,.5,not available,annual crop,1
393,7,.5,kert,.125,teuf,15,rain,36,yes,allocated by government,yes,yes,,,livestock/grazing,
394,1,.5,kert,.125,teuf,0,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
394,2,1,kert,.25,teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
394,3,.5,kert,.125,teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
394,4,3,kert,.75,teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
394,5,1,kert,.25,teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
394,6,1,kert,.25,teuf,0,rain,36,yes,allocated by government,yes,yes,,,livestock/grazing,
395,1,1.5,kert,.375,lem-teuf,0,rain,9,yes,allocated by government,yes,yes,,,livestock/grazing,
395,2,.5,kert,.125,lem-teuf,0,rain,9,yes,allocated by government,yes,yes,,,annual crop,1
395,3,3,kert,.75,lem-teuf,7,rain,19,yes,allocated by government,yes,yes,,,annual crop,1
395,4,5,kert,1.75,lem,30,rain,4,yes,allocated by government,yes,yes,,,annual crop,1
395,5,2,kert,.5,lem,27,rain,4,yes,allocated by government,yes,yes,,,annual crop,1
395,6,1.5,kert,.375,lem-teuf,30,rain,19,yes,allocated by government,yes,yes,,,annual crop,1
395,7,3.5,kert,.875,lem,40,rain,7,"no, we share-cropped in",,,,.5,not available,annual crop,1
395,8,1,kert,.25,lem-teuf,20,rain,19,yes,allocated by family,yes,yes,,,annual crop,1
395,9,1,kert,.25,lem,40,rain,7,"no, we share-cropped in",,,,.5,not available,annual crop,1
395,10,.75,kert,.1875,lem-teuf,0,rain,19,yes,allocated by family,yes,yes,,,wood lots,
396,1,2,kert,.5,teuf,15,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
396,2,2,kert,.5,lem-teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
396,3,2,kert,.5,teuf,6,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
396,4,2,kert,.5,teuf,6,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
396,5,1,kert,.25,teuf,50,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
396,6,2,kert,.5,lem-teuf,15,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
396,7,1,kert,.25,lem-teuf,15,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
396,8,1,kert,.25,teuf,15,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
396,9,1,kert,.25,lem-teuf,0,rain,36,yes,allocated by government,yes,yes,,,livestock/grazing,
397,1,3,kert,.75,lem,0,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
397,2,2,kert,.5,lem,0,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
397,3,2,kert,.5,lem-teuf,0,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
397,4,2,kert,.5,lem-teuf,5,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
397,5,2,kert,.5,lem-teuf,5,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
397,6,2,kert,.5,lem,5,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
397,7,1.5,kert,.375,lem-teuf,0,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
397,8,1,kert,.25,lem,0,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
397,9,3,kert,.75,teuf,15,rain,14,"no, we share-cropped in",,,,.5,not available,annual crop,1
397,10,2,kert,.5,lem-teuf,0,rain,36,yes,allocated by government,yes,yes,,,livestock/grazing,
398,1,.5,kert,.125,lem-teuf,2,rain,26,yes,allocated by government,yes,yes,,,livestock/grazing,
398,2,1.5,kert,.375,lem,6,rain,26,yes,allocated by government,yes,yes,,,annual crop,2
398,3,1.5,kert,.375,lem,10,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
398,4,2,kert,.5,teuf,8,rain,17,"no, we share-cropped in",,,,.5,not available,annual crop,1
398,5,3,kert,.75,teuf,12,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
398,6,1.5,kert,.375,teuf,20,rain,17,"no, we share-cropped in",,,,.5,not available,annual crop,1
398,7,.5,kert,.125,lem,10,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
398,8,1.5,kert,.375,lem,10,rain,26,yes,allocated by government,yes,yes,,,livestock/grazing,
399,1,1,kert,.25,lem-teuf,30,rain,24,yes,inherited,yes,yes,,,annual crop,1
399,2,1,kert,.25,lem,30,rain,24,yes,inherited,yes,yes,,,annual crop,1
399,3,1,kert,.25,lem-teuf,20,rain,24,yes,inherited,yes,yes,,,annual crop,1
399,4,1,kert,.25,lem-teuf,20,rain,24,yes,inherited,yes,yes,,,annual crop,1
399,5,2,kert,.5,lem-teuf,10,rain,24,yes,inherited,yes,yes,,,annual crop,1
399,6,1,kert,.25,lem-teuf,20,rain,24,yes,inherited,yes,yes,,,annual crop,1
399,7,1.5,kert,.375,lem-teuf,10,rain,24,yes,inherited,yes,yes,,,annual crop,1
399,8,1,kert,.25,lem-teuf,5,rain,24,yes,inherited,yes,yes,,,annual crop,1
399,9,1,kert,.25,lem-teuf,20,rain,24,yes,inherited,yes,yes,,,livestock/grazing,
399,10,.5,kert,.125,lem-teuf,0,rain,24,yes,inherited,yes,yes,,,wood lots,
400,1,5,kert,.82999998,lem-teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
400,2,4,kert,.66000003,lem-teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
400,3,1,kert,.16599999,lem-teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
400,4,1,kert,.16599999,lem-teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
400,5,3,kert,.5,lem-teuf,0,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
400,6,2,kert,.333,lem-teuf,0,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
400,7,1,kert,.16599999,lem-teuf,0,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
400,8,1,kert,.16599999,lem-teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
400,9,1,kert,.16599999,lem-teuf,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
6,1,4,gezem,.5,lem,30,rain,4,yes,inherited,yes,yes,,,annual crop,1
6,2,6,gezem,.75,lem,15,rain,4,"no, we rent it from others",,,,,3500,annual crop,1
6,3,6,gezem,.75,lem,5,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
6,4,2,gezem,.25,lem,15,rain,4,"no, we rent it from others",,,,,2000,annual crop,1
7,1,6,gezem,.75,teuf,60,rain,16,yes,allocated by government,yes,yes,,,annual crop,1
7,2,2,gezem,.25,lem,90,rain,16,yes,allocated by government,yes,yes,,,annual crop,1
7,3,4,gezem,.5,lem,90,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
7,4,2,gezem,.25,lem,60,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
7,5,2,gezem,.25,teuf,30,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
7,6,3,gezem,.375,teuf,30,rain,3,"no, we share-cropped in",,,,.5,not available,annual crop,1
7,7,3,gezem,.375,teuf,30,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
7,8,2,gezem,.25,lem,120,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
7,9,3,gezem,.375,teuf,60,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
7,10,3,gezem,.375,lem,120,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
8,1,2,gezem,.25,teuf,30,rain,3,yes,allocated by family,yes,yes,,,annual crop,1
8,2,2,gezem,.25,lem,30,rain,4,yes,allocated by government,yes,yes,,,annual crop,1
8,3,2,gezem,.25,lem,30,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
8,4,2,gezem,.25,lem,30,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
9,1,2,gezem,.25,teuf,30,rain,6,yes,allocated by family,yes,yes,,,annual crop,1
9,2,2,gezem,.25,teuf,15,rain,4,yes,allocated by government,yes,yes,,,annual crop,1
9,3,.5,gezem,.0625,lem,30,rain,4,yes,allocated by government,yes,yes,,,annual crop,1
9,4,2,gezem,.25,lem,15,rain,6,yes,allocated by family,yes,yes,,,annual crop,1
9,5,.5,gezem,.0625,lem,30,rain,4,yes,allocated by government,yes,yes,,,annual crop,1
9,6,1,gezem,.125,lem,30,rain,6,yes,allocated by family,yes,yes,,,annual crop,1
10,1,3,gezem,.375,lem,30,rain,50,yes,allocated by family,yes,yes,,,annual crop,1
10,2,3,gezem,.375,lem,30,rain,50,yes,allocated by family,yes,yes,,,annual crop,1
10,3,3,gezem,.375,lem-teuf,30,rain,50,yes,allocated by family,yes,yes,,,annual crop,1
10,4,2,gezem,.25,lem,15,rain,50,yes,allocated by family,yes,yes,,,annual crop,1
10,5,3,gezem,.375,teuf,10,rain,50,yes,allocated by family,yes,yes,,,annual crop,1
10,6,3,gezem,.375,lem,15,rain,50,yes,allocated by family,yes,yes,,,annual crop,1
10,7,1,gezem,.125,lem,20,rain,50,yes,allocated by family,yes,yes,,,annual crop,1
10,8,.5,gezem,.059999999,lem,0,rain,50,yes,allocated by family,yes,yes,,,annual crop,2
801,1,1,timad,.25,lem,0,rain,14,yes,allocated by government,yes,yes,,,annual crop,1
801,2,1,timad,.25,lem,10,rain,3,"no, we share-cropped in",,,,.5,not available,annual crop,1
801,3,1,timad,.25,lem,10,rain,3,"no, we share-cropped in",,,,.5,not available,annual crop,1
801,4,1,timad,.25,teuf,15,rain,14,yes,allocated by government,yes,yes,,,perennial crops,
802,1,1,timad,.25,lem-teuf,0,rain,31,yes,allocated by government,yes,yes,,,annual crop,1
