hhid,sectiong0,sectiong1,sectiong2,sectiong3a,sectiong3b,sectiong3c,sectiong4,sectiong5,sectiong6,sectiong7,sectiong8,sectiong9,sectiong10,sectiong11,sectiong12,sectiong13,sectiong14,sectiong15,sectiong16,sectiong17,sectiong18,sectiong19,sectiong20,sectiong21,sectiong22,sectiong23,sectiong24,sectiong25,sectiong26
175,8,2,sene,2,quintal,2,magna,cash,2600,1300,"trader with fixed shop, selling teff to addis",there is no real difference with other traders,trader shop (fixed),yes,yes,2,own donkey,0,25,20,man,100,,yes,yes,no,no,no,
175,8,5,meskerem,4,quintal,4,magna,cash,6000,1500,"trader with fixed shop, selling teff to addis",there is no real difference with other traders,trader shop (fixed),yes,yes,2,own donkey,0,25,30,man,100,,yes,yes,no,no,no,
175,8,4,nehase,4,quintal,4,magna,cash,6000,1500,"trader with fixed shop, selling teff to addis",there is no real difference with other traders,trader shop (fixed),yes,yes,2,own donkey,0,25,40,man,100,,yes,yes,no,no,no,
175,8,1,ginbot,6,quintal,6,magna,cash,72000,1200,"trader with fixed shop, selling teff to addis",there is no real difference with other traders,trader shop (fixed),yes,yes,2,own donkey,0,25,45,man,100,,yes,yes,no,no,no,
175,8,3,hamle,2,quintal,2,magna,cash,2700,1350,"trader with fixed shop, selling teff to addis",there is no real difference with other traders,trader shop (fixed),yes,yes,3,own donkey,0,25,20,man,100,,yes,yes,no,no,no,
176,4,1,yekatit,2,quintal,2,white,cash,2000,1000,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,no,,motorized vehicle,70,30,10,man,100,,no,,no,no,no,
176,4,3,sene,2,quintal,2,white,cash,2400,1200,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,no,,motorized vehicle,60,35,10,man,100,,no,,no,no,no,
176,4,2,miazia,1.5,quintal,1.5,red,cash,1050,700,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,no,,motorized vehicle,80,40,10,man,100,,no,,no,no,no,
176,4,4,hamle,1.5,quintal,1.5,red,cash,1350,900,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,no,,motorized vehicle,70,40,10,man,100,,no,,no,no,no,
177,4,3,hamle,4,quintal,4,white,cash,6000,1500,"trader with fixed shop, selling teff to addis",he pays immediately,roadside,yes,no,,own donkey,0,15,5,man,100,,no,,no,no,no,
177,4,4,nehase,1,quintal,1,white,cash,1500,1500,"trader with fixed shop, selling teff to addis",he pays immediately,roadside,yes,no,,own donkey,0,15,5,man,100,,no,,no,no,no,
177,4,2,sene,2,quintal,2,white,cash,2600,1300,egte/govt,he gives higher prices,roadside,yes,no,,own donkey,0,15,5,man,0,15,no,,no,no,no,
177,4,1,megabit,3,quintal,3,white,cash,3600,1200,"trader with fixed shop, selling teff to addis",he pays immediately,roadside,yes,no,,own donkey,0,15,5,man,100,,no,,no,no,no,
178,4,2,miazia,50,quintal,50,white,cash,60000,1200,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,1100,40,30,man,100,,no,,no,no,yes,no
178,4,4,nehase,13,quintal,13,red,cash,14300,1100,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,300,40,10,man,100,,no,,no,no,yes,no
178,4,3,hamle,22.5,quintal,22.5,white,cash,27000,1200,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,720,30,20,man,100,,no,,no,no,yes,no
178,4,1,tir,50,quintal,50,white,cash,50500,1010,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,1000,60,30,man,100,,no,,no,no,yes,no
179,4,3,hamle,4,quintal,4,white,cash,5400,1350,assemblers from outside village,he gives higher prices,local(weekly) market,yes,no,,own and other donkeys,0,120,30,man,100,,no,,no,no,yes,no
179,4,1,miazia,2,quintal,2,white,cash,1800,900,assemblers from outside village,he gives higher prices,local(weekly) market,yes,no,,own and other donkeys,0,75,10,man,100,,no,,no,no,yes,no
179,4,2,ginbot,2,quintal,2,white,cash,1900,950,assemblers from outside village,he gives higher prices,local(weekly) market,yes,no,,own and other donkeys,0,90,15,man,100,,no,,no,no,yes,no
179,4,4,meskerem,6.5,quintal,6.5,white,cash,9100,1400,assemblers from outside village,he gives higher prices,local(weekly) market,yes,no,,own and other donkeys,0,90,5,man,100,,no,,no,no,yes,no
180,1,1,nehase,7,quintal,7,white,cash,9100,1300,egte/govt,he gives higher prices,roadside,yes,no,,own donkey,50,130,20,man,100,,no,,no,no,no,
181,4,3,hamle,52.5,quintal,52.5,white,cash,68250,1300,"trader with fixed shop, selling teff to addis",he pays immediately,local(weekly) market,yes,yes,3,motorized vehicle,800,30,30,man,100,,yes,no,no,no,no,
181,4,1,miazia,60,quintal,60,white,cash,750000,1250,"trader with fixed shop, selling teff to addis",he pays immediately,on the farm or home,no,yes,3,none,0,0,10,man,100,,yes,no,no,no,no,
181,4,4,pagume,55,quintal,55,white,cash,77000,1400,"trader with fixed shop, selling teff to addis",he pays immediately,local(weekly) market,yes,yes,3,motorized vehicle,850,30,30,man,100,,yes,no,no,no,no,
181,4,2,hamle,3,quintal,3,red,cash,3600,1200,farmer,he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,100,30,30,man,100,,no,no,no,no,no,
182,4,2,ginbot,3,quintal,3,magna,cash,3900,1300,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,yes,2,own donkey,40,110,20,man,100,,no,,no,no,yes,no
182,4,3,hamle,10,quintal,10,magna,cash,15000,1500,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,yes,2,own donkey,60,110,30,man,100,,no,,no,no,yes,no
182,4,1,miazia,3,quintal,3,magna,cash,3600,1200,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,yes,2,own donkey,50,110,20,man,100,,no,,no,no,yes,no
182,4,4,nehase,8,quintal,8,magna,cash,11200,1400,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,yes,2,own donkey,50,110,40,man,100,,no,,no,no,yes,no
183,1,1,megabit,6,quintal,6,white,cash,7800,1300,farmer,he gives advances when needed or lends me money if needed,on the farm or home,no,no,,own donkey,36,25,5,man,0,15,no,,no,no,no,
184,3,3,ginbot,3.5,quintal,3.5,white,cash,3675,1050,at wholesale market: traveling trader going elsewhere,there is no real difference with other traders,local(weekly) market,no,no,,own donkey,0,60,30,man,100,,no,,no,no,no,
184,3,2,miazia,2,quintal,2,white,cash,2000,1000,at wholesale market: traveling trader going elsewhere,there is no real difference with other traders,local(weekly) market,no,no,,own donkey,0,60,30,man,100,,no,,no,no,no,
184,3,1,tahisas,1,quintal,1,white,cash,900,900,at wholesale market: traveling trader going elsewhere,there is no real difference with other traders,local(weekly) market,no,no,,own donkey,0,60,30,man,100,,no,,no,no,no,
185,5,5,nehase,8,quintal,8,white,cash,12000,1500,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,150,20,20,man,100,,yes,yes,no,no,no,
185,5,4,hamle,7,quintal,7,white,cash,10500,1500,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,120,20,20,man,100,,yes,yes,no,no,no,
185,5,1,tir,20,quintal,20,white,cash,20000,1000,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,yes,2,motorized vehicle,300,30,25,man,100,,yes,yes,no,no,no,
185,5,2,miazia,35,quintal,35,white,cash,38500,1100,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,yes,1,motorized vehicle,420,40,20,man,100,,yes,yes,no,no,no,
185,5,3,ginbot,10,quintal,10,white,cash,12000,1200,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,170,20,20,man,100,,yes,yes,no,no,no,
186,1,1,meskerem,3,quintal,3,white,cash,4050,1350,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,own donkey,0,60,60,man,100,,yes,yes,no,no,no,
187,1,1,megabit,3,quintal,3,white,cash,3600,1200,at wholesale market: traveling trader going elsewhere,there is no real difference with other traders,local(weekly) market,no,yes,4,own and other donkeys,50,90,120,man,100,,no,,no,no,no,
188,2,2,hamle,3,quintal,3,white,cash,3600,1200,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,70,40,10,man,100,,no,,no,no,yes,no
188,2,1,sene,16,quintal,16,white,cash,19200,1200,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,200,40,10,man,100,,no,,no,no,yes,no
189,1,1,hamle,4.25,quintal,4.25,white,cash,6300,1400,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,motorized vehicle,76,30,30,woman,100,,no,,no,no,no,
190,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2,2,tir,1,quintal,1,magna,cash,1200,1200,assemblers from outside village,he gives higher prices,local(weekly) market,no,no,,own donkey,5,60,30,man,100,,no,,no,no,no,
192,2,1,tahisas,2,quintal,2,magna,cash,2600,1300,assemblers from outside village,he gives higher prices,local(weekly) market,no,no,,own donkey,10,60,30,man,100,,yes,no,no,no,no,
193,2,2,miazia,2.5,quintal,2.5,magna,cash,3500,1400,assemblers from outside village,he gives higher prices,local(weekly) market,no,no,,own donkey,30,30,150,man,100,,no,,no,no,no,
193,2,1,megabit,2,quintal,2,magna,cash,2800,1400,assemblers from outside village,he gives higher prices,local(weekly) market,no,no,,own donkey,30,30,120,man,100,,yes,no,no,no,no,
194,2,2,sene,2,quintal,2,red,cash,2000,1000,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,rented cart,48,10,5,man,100,,no,,no,no,no,
194,2,1,hamle,12,quintal,12,magna,cash,16800,1400,egte/govt,he gives higher prices,on the farm or home,yes,no,,own donkey,0,0,120,man,100,,yes,yes,no,no,no,
195,2,2,hamle,1,quintal,1,white,cash,1000,1000,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,18,60,5,man,100,,no,,no,no,no,
195,2,1,yekatit,1,quintal,1,white,cash,900,900,"trader with fixed shop, selling teff to addis",he gives higher prices,on the farm or home,no,no,,own donkey,0,40,5,man,100,,no,,no,no,no,
196,2,1,sene,4,quintal,4,magna,cash,4800,1200,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,no,,own cart,0,10,15,man,100,,yes,yes,yes,no,no,
196,2,2,meskerem,6,quintal,6,magna,cash,8400,1400,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,no,,own cart,0,10,15,man,100,,yes,yes,no,no,no,
197,1,1,sene,4,quintal,4,white,cash,6000,1500,farmer-trader in the village,he gives higher prices,local(weekly) market,yes,yes,2,own donkey,50,30,15,man,100,,no,,no,no,yes,no
198,2,2,meskerem,10,quintal,10,white,cash,14000,1400,assemblers from outside village,he is close by,local(weekly) market,yes,no,,motorized vehicle,120,30,10,man,0,40,yes,yes,no,no,no,
198,2,1,ginbot,12.44,quintal,12.44,white,cash,14928,1200,assemblers from outside village,he is close by,local(weekly) market,yes,no,,motorized vehicle,186,30,10,man,0,5,yes,yes,no,no,no,
199,4,4,nehase,6,quintal,6,white,cash,9000,1500,farmer-trader in the village,he is close by,local(weekly) market,yes,no,,own donkey,65,15,10,man,100,,yes,yes,no,yes,no,
199,4,1,tahisas,5,quintal,5,white,cash,4500,900,farmer-trader in the village,he is close by,local(weekly) market,yes,no,,own donkey,60,15,20,man,100,,yes,yes,no,yes,no,
199,4,3,hamle,6,quintal,6,white,cash,8400,1400,farmer-trader in the village,he is close by,local(weekly) market,yes,no,,own donkey,70,15,10,man,100,,yes,yes,no,yes,no,
199,4,2,tir,2,quintal,2,white,cash,1800,900,farmer-trader in the village,he is close by,local(weekly) market,yes,no,,own donkey,30,15,20,man,100,,yes,yes,no,yes,no,
200,1,1,nehase,30,quintal,30,white,cash,45000,1500,egte/govt,he gives higher prices,on the farm or home,yes,yes,2,motorized vehicle,180,0,30,man,100,,yes,yes,no,no,no,
201,3,1,tahisas,1,quintal,1,magna,cash,1000,1000,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,yes,2,motorized vehicle,22,20,15,man,100,,no,,no,no,yes,yes
201,3,3,hamle,1,quintal,1,red,cash,900,900,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,yes,2,motorized vehicle,22,20,15,man,100,,no,,no,no,yes,yes
201,3,2,sene,1,quintal,1,magna,cash,1000,1000,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,yes,2,motorized vehicle,22,20,15,man,100,,no,,no,no,yes,yes
202,2,1,sene,2.5,quintal,2.5,white,cash,3250,1300,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,motorized vehicle,47,20,5,man,100,,no,,no,no,yes,no
202,2,2,hamle,2.5,quintal,2.5,white,cash,3400,1360,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,motorized vehicle,47,20,5,man,100,,no,,no,no,yes,no
203,3,2,hamle,4,quintal,4,magna,cash,3000,750,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,3,motorized vehicle,100,15,10,man,100,,no,,no,no,no,
203,3,3,nehase,9,quintal,9,magna,cash,7200,800,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,5,motorized vehicle,100,15,10,man,100,,no,,no,no,no,
203,3,1,sene,5,quintal,5,magna,cash,3500,700,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,3,own donkey,60,120,10,man,100,,no,,no,no,no,
204,2,1,hamle,7.5,quintal,7.5,magna,cash,7570,1009,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,120,10,mix,100,,no,,no,yes,no,
204,2,2,hamle,2.5,quintal,2.5,magna,cash,3800,1520,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,no,,motorized vehicle,96,15,10,mix,100,,yes,yes,no,yes,no,
205,5,3,tir,6,quintal,6,magna,cash,7200,1200,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,yes,5,motorized vehicle,126,15,30,man,100,,no,,no,no,no,
205,5,4,miazia,7,quintal,7,magna,cash,9800,1400,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,yes,4,motorized vehicle,150,15,50,mix,100,,no,,no,no,no,
205,5,5,ginbot,3,quintal,3,red,cash,3000,1000,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,yes,1,motorized vehicle,50,15,25,man,100,,no,,no,no,no,
205,5,2,tahisas,4,quintal,4,magna,cash,4800,1200,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,yes,3,motorized vehicle,84,15,25,mix,100,,no,,no,no,no,
205,5,1,hidar,2,quintal,2,magna,cash,2000,1000,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,yes,4,motorized vehicle,42,15,20,man,100,,no,,no,no,no,
206,2,2,miazia,1.5,quintal,1.5,white,cash,1650,1100,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,20,5,man,100,,no,,no,no,yes,no
206,2,1,tahisas,1,quintal,1,magna,cash,1200,1200,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,20,5,man,100,,no,,no,no,yes,no
207,1,1,sene,4,quintal,4,magna,cash,5200,1300,farmer-trader in the village,he is close by,trader shop (fixed),yes,no,,own donkey,0,40,5,man,100,,no,,no,no,yes,no
208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1,1,hidar,2,quintal,2,white,cash,1800,900,farmer-trader in the village,he is close by,local(weekly) market,yes,no,,own donkey,100,15,10,man,100,,no,,no,no,yes,yes
210,1,1,tahisas,2,quintal,2,magna,cash,2800,1400,assemblers from outside village,he gives higher prices,roadside,yes,no,,own donkey,0,30,30,man,100,,yes,yes,no,no,no,
211,1,1,megabit,5,quintal,5,white,cash,6500,1300,at wholesale market: traveling trader going to addis,he gives higher prices,local(weekly) market,yes,no,,own donkey,0,120,180,man,100,,no,,no,no,yes,no
212,3,2,megabit,20,quintal,20,white,cash,20600,1030,"trader with fixed shop, selling teff to addis",he pays immediately,local(weekly) market,no,yes,4,motorized vehicle,250,40,40,man,100,,no,,no,no,no,
212,3,1,tir,8,quintal,8,white,cash,7200,900,"trader with fixed shop, selling teff to addis",he pays immediately,local(weekly) market,no,yes,3,motorized vehicle,150,30,30,man,100,,no,,no,no,no,
212,3,3,hamle,2,quintal,2,white,cash,3000,1500,"trader with fixed shop, selling teff to addis",he pays immediately,local(weekly) market,no,yes,3,motorized vehicle,70,20,20,man,100,,no,,no,no,no,
213,2,2,ginbot,2,quintal,2,magna,cash,2200,1100,assemblers from outside village,i trust his weighing,local(weekly) market,yes,no,,own donkey,2.5,25,10,man,100,,no,,no,no,no,
213,2,1,tahisas,2,quintal,2,magna,cash,2000,1000,assemblers from outside village,i trust his weighing,local(weekly) market,yes,no,,own donkey,2.5,25,10,man,100,,no,,no,no,no,
214,2,2,miazia,2,quintal,2,magna,cash,2600,1300,assemblers from outside village,he gives higher prices,roadside,yes,no,,own donkey,0,30,5,man,100,,no,,no,no,no,
214,2,1,tahisas,2,quintal,2,magna,cash,2000,1000,assemblers from outside village,he gives higher prices,roadside,yes,no,,own donkey,0,30,5,man,100,,no,,no,no,no,
215,3,1,ginbot,1,quintal,1,magna,cash,1700,1700,assemblers from outside village,he gives higher prices,local(weekly) market,no,no,,own donkey,15,240,120,man,100,,no,,no,no,yes,no
215,3,3,tikimt,4,quintal,4,magna,cash,4000,1000,assemblers from outside village,he gives higher prices,local(weekly) market,yes,no,,own donkey,0,120,15,man,100,,no,,no,no,no,
215,3,2,hamle,1,quintal,1,magna,cash,1700,1700,assemblers from outside village,he gives higher prices,local(weekly) market,yes,no,,own donkey,15,120,15,man,100,,no,,no,no,no,
216,1,1,hidar,1,quintal,1,white,cash,800,800,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),no,no,,own donkey,0,120,5,man,100,,no,,no,no,no,
217,2,2,ginbot,5,quintal,5,magna,cash,4500,900,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,30,10,man,100,,no,,no,no,no,
217,2,1,miazia,5,quintal,5,magna,cash,4500,900,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,30,10,man,100,,no,,no,no,no,
218,1,1,hidar,1,quintal,1,red,cash,950,950,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,yes,2,own donkey,0,90,10,man,100,,no,,no,no,no,
219,4,4,sene,1,quintal,1,red,cash,1000,1000,"trader with fixed shop, selling teff to addis",he is close by,trader shop (fixed),yes,no,,own donkey,0,60,5,man,100,,no,,no,no,yes,yes
219,4,3,ginbot,1.5,quintal,1.5,white,cash,1650,1100,"trader with fixed shop, selling teff to addis",he is close by,trader shop (fixed),yes,no,,own donkey,0,60,5,man,100,,no,,no,no,yes,yes
219,4,1,megabit,2,quintal,2,white,cash,2200,1100,"trader with fixed shop, selling teff to addis",he is close by,trader shop (fixed),yes,no,,own donkey,0,60,5,man,100,,no,,no,no,yes,yes
219,4,2,miazia,2,quintal,2,white,cash,2200,1100,"trader with fixed shop, selling teff to addis",he is close by,trader shop (fixed),yes,no,,own donkey,0,60,5,man,100,,no,,no,no,yes,yes
220,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,3,sene,1,quintal,1,red,cash,1230,1230,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,2,motorized vehicle,48,30,5,man,100,,no,,no,no,no,
221,4,4,hamle,1.5,quintal,1.5,magna,cash,1350,900,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,2,motorized vehicle,0,30,5,man,100,,no,,no,no,no,
221,4,2,megabit,1.5,quintal,1.5,magna,cash,1670,1113,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,2,motorized vehicle,90,30,15,mix,100,,no,,no,no,no,
221,4,1,tir,1,quintal,1,red,cash,1100,1100,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,2,motorized vehicle,43,30,10,man,100,,no,,no,no,no,
222,2,2,ginbot,4,quintal,4,magna,cash,4800,1200,"trader with fixed shop, selling teff elsewhere",he is close by,trader shop (fixed),yes,yes,2,rented cart,56,30,5,man,100,,no,,no,no,yes,yes
222,2,1,miazia,4,quintal,4,magna,cash,4800,1200,"trader with fixed shop, selling teff elsewhere",he is close by,trader shop (fixed),yes,yes,2,rented cart,56,30,5,man,100,,no,,no,no,yes,yes
223,2,2,hamle,5,quintal,5,magna,cash,4000,800,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,120,5,man,100,,no,,no,no,yes,yes
223,2,1,tahisas,5,quintal,5,magna,cash,4000,800,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,120,5,man,100,,no,,no,no,yes,yes
224,1,1,ginbot,4,quintal,4,white,cash,6000,1500,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,by foot,0,40,5,man,100,,no,,no,no,no,
225,2,2,tikimt,14,quintal,14,white,cash,21700,1550,assemblers from outside village,he gives higher prices,on the farm or home,yes,yes,2,none,0,0,0,man,100,,yes,yes,no,no,no,
225,2,1,tikimt,32,quintal,32,magna,cash,49600,1550,assemblers from outside village,he gives higher prices,on the farm or home,yes,yes,2,none,0,0,0,man,100,,yes,yes,no,no,no,
226,2,2,megabit,2,quintal,2,magna,cash,2400,1200,farmer-trader in the village,there is no real difference with other traders,local(weekly) market,no,no,,own donkey,0,70,20,woman,100,,no,,no,no,yes,yes
226,2,1,yekatit,2,quintal,2,magna,cash,2400,1200,farmer-trader in the village,there is no real difference with other traders,local(weekly) market,no,no,,own donkey,0,70,20,woman,100,,no,,no,no,yes,yes
227,3,2,tir,3.5,quintal,3.5,white,cash,3500,1000,at wholesale market: traveling trader going elsewhere,he pays immediately,local(weekly) market,yes,no,,motorized vehicle,33,20,10,man,100,,no,,no,no,yes,yes
227,3,1,tir,5,quintal,5,white,cash,5000,1000,at wholesale market: traveling trader going elsewhere,he pays immediately,local(weekly) market,yes,no,,motorized vehicle,40,25,5,man,100,,no,,no,no,yes,yes
227,3,3,tikimt,1.5,quintal,1.5,red,cash,1200,800,at wholesale market: traveling trader going elsewhere,he pays immediately,local(weekly) market,yes,no,,motorized vehicle,20,15,5,man,100,,no,,no,no,yes,yes
228,5,3,tir,1,quintal,1,white,cash,1300,1300,at wholesale market: traveling trader going elsewhere,he accepts large quantities,local(weekly) market,yes,no,,motorized vehicle,26,15,5,man,100,,no,,no,no,no,
228,5,2,tahisas,1,quintal,1,white,cash,1250,1250,at wholesale market: traveling trader going elsewhere,he accepts large quantities,local(weekly) market,yes,no,,motorized vehicle,26,15,5,man,100,,no,,no,no,no,
228,5,5,miazia,1,quintal,1,white,cash,1400,1400,at wholesale market: traveling trader going elsewhere,he accepts large quantities,local(weekly) market,yes,no,,motorized vehicle,26,15,5,man,100,,no,,no,no,no,
228,5,1,hidar,2,quintal,2,white,cash,2300,1150,at wholesale market: traveling trader going elsewhere,he accepts large quantities,local(weekly) market,yes,no,,motorized vehicle,40,15,5,man,100,,no,,no,no,yes,yes
228,5,4,yekatit,1,quintal,1,white,cash,1400,1400,at wholesale market: traveling trader going elsewhere,he accepts large quantities,local(weekly) market,yes,no,,motorized vehicle,26,15,5,man,100,,no,,no,no,no,
229,4,2,tahisas,1,quintal,1,white,cash,1100,1100,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,14,20,15,man,100,,no,,no,no,yes,yes
229,4,3,hamle,1,quintal,1,white,cash,1360,1360,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,14,20,15,man,100,,no,,no,no,no,
229,4,1,miazia,3,quintal,3,white,cash,3600,1200,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,42,20,10,man,100,,no,,no,no,no,
229,4,4,megabit,.5,quintal,.5,white,cash,600,1200,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,7,20,10,man,100,,no,,no,no,no,
230,1,1,tir,2,quintal,2,white,cash,2000,1000,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,32,15,5,man,100,,no,,no,no,yes,yes
231,2,1,tir,.5,quintal,.5,magna,cash,600,1200,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,no,no,,own donkey,20,60,60,man,100,,no,,no,no,no,
231,2,2,miazia,.5,quintal,.5,magna,cash,650,5,farmer,he accepts small quantities,trader shop (fixed),no,no,,own donkey,20,60,60,man,100,,no,,no,no,no,
232,1,1,tahisas,1,quintal,1,white,cash,950,950,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,motorized vehicle,50,15,5,mix,100,,no,,no,no,yes,yes
233,2,2,tahisas,1,quintal,1,magna,cash,1000,1000,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,motorized vehicle,19,50,5,man,100,,no,,no,no,yes,yes
233,2,1,tahisas,2,quintal,2,red,cash,1200,600,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,motorized vehicle,34,60,5,man,100,,no,,no,no,yes,yes
234,2,2,tahisas,2,quintal,2,white,cash,2200,1100,at wholesale market: traveling trader going to addis,he gives higher prices,local(weekly) market,yes,no,,own donkey,20,60,15,man,100,,no,,no,no,no,
234,2,1,hidar,2,quintal,2,white,cash,2000,1000,at wholesale market: traveling trader going to addis,he gives higher prices,local(weekly) market,yes,no,,own donkey,20,60,15,man,100,,no,,no,no,no,
235,5,2,megabit,1,quintal,1,magna,cash,1150,1150,"trader with fixed shop, selling teff to addis",i trust his weighing,local(weekly) market,yes,no,,motorized vehicle,60,5,20,man,100,,no,,no,no,no,
235,5,4,sene,2,quintal,2,magna,cash,2400,1200,"trader with fixed shop, selling teff to addis",i trust his weighing,local(weekly) market,yes,no,,motorized vehicle,24,5,10,man,100,,no,,no,no,no,
235,5,3,miazia,1,quintal,1,red,cash,800,800,"trader with fixed shop, selling teff to addis",i trust his weighing,local(weekly) market,yes,no,,motorized vehicle,60,5,10,man,100,,no,,no,no,no,
235,5,5,hamle,.5,quintal,.5,magna,cash,650,1300,"trader with fixed shop, selling teff to addis",i trust his weighing,local(weekly) market,yes,no,,motorized vehicle,50,5,10,man,100,,no,,no,no,no,
235,5,1,hidar,1.5,quintal,1.5,magna,cash,1650,1100,"trader with fixed shop, selling teff to addis",i trust his weighing,local(weekly) market,yes,no,,motorized vehicle,70,30,60,man,100,,no,,no,no,no,
236,3,3,megabit,2,quintal,2,white,barter,1600,800,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,yes,no,,motorized vehicle,40,15,30,man,100,,no,,no,no,yes,yes
