hhid,sectionf31,sectionf32,sectionf33,sectionf34,sectionf35,sectionf36,sectionf37,sectionf38,sectionf39,sectionf310,sectionf311
275,3,1,.36000001,1,.18000001,1,1,35,30,2-4-d,0
276,1,1,.5,1,.5,1,1,40,30,2-4-d,30
276,1,2,.5,1,.5,1,1,40,24,2-4-d,24
277,1,1,.1,1,.050000001,1,2,40,0,,0
278,1,1,.67000002,1,.15000001,1,1,21,39,2-4-d,0
278,2,1,.25,1,.15000001,1,1,21,26,2-4-d,0
278,3,1,.12,1,.050000001,1,1,21,26,2-4-d,0
278,4,1,.25,1,.1,1,1,21,26,2-4-d,0
279,1,1,.25,1,.25,1,1,45,16,2-4-d,8
279,2,1,.75,1,.25,1,1,45,32,2-4-d,6
280,1,1,.25,1,.15000001,1,1,40,27,2-4-d,0
280,2,1,.25,1,.1,1,1,40,18,2-4-d,0
280,3,1,.25,1,.050000001,1,1,40,9,2-4-d,0
281,1,1,.5,1,0,,1,15,16,2-4-d,0
282,1,1,.5,1,.30000001,1,2,7,20,2-4-d,0
282,2,1,1,1,.60000002,1,2,7,40,2-4-d,0
283,2,2,0,,0,,0,,33,other,0
284,1,1,.2,1,.1,1,1,40,20,2-4-d,0
284,2,1,.2,1,.1,1,1,40,20,2-4-d,0
285,1,1,3,1,1,1,1,45,144,2-4-d,0
285,2,1,1,1,.5,1,1,45,48,2-4-d,0
286,1,1,.69999999,1,.25,1,1,45,26,2-4-d,0
286,2,1,1,1,.5,1,1,45,52,2-4-d,0
287,1,1,.25,1,.050000001,1,1,30,20,2-4-d,0
288,1,1,.2,1,0,,1,40,30,2-4-d,0
289,1,1,.25,1,.25,1,0,,45,2-4-d,0
290,1,1,.5,1,.12,1,1,45,30,2-4-d,0
290,2,1,.5,1,.12,1,1,45,30,2-4-d,0
291,1,1,.5,1,0,,1,45,30,2-4-d,12
291,2,1,.5,1,0,,1,45,30,2-4-d,12
292,5,1,.75,1,.25,1,1,45,40,2-4-d,0
292,7,1,.5,1,.13,1,1,45,20,2-4-d,0
293,2,2,.13,1,0,,1,20,10,2-4-d,0
293,7,1,.13,1,0,,1,20,10,2-4-d,0
294,1,1,.23999999,1,0,,2,30,20,2-4-d,0
294,5,1,.12,1,0,,2,30,10,2-4-d,0
295,1,1,.34999999,1,0,,1,20,82,2-4-d,0
295,2,1,.15000001,1,0,,1,20,41,2-4-d,0
296,1,1,.25,1,.079999998,1,2,15,9,2-4-d,0
296,2,1,.25,1,.079999998,1,2,15,9,2-4-d,0
296,3,1,.25,1,.079999998,1,2,15,9,2-4-d,0
296,4,1,.25,1,.079999998,1,2,15,9,2-4-d,0
296,5,1,.17,1,.079999998,1,2,15,9,2-4-d,0
297,1,1,0,,0,,1,20,60,2-4-d,0
297,2,1,.5,1,.25,1,1,20,40,2-4-d,0
297,3,1,.5,1,.25,1,1,20,40,2-4-d,0
298,5,1,.5,1,0,,1,30,24,2-4-d,0
298,7,1,0,,0,,2,30,48,2-4-d,0
299,1,1,.33000001,1,0,,1,40,24,2-4-d,0
299,2,1,.33000001,1,0,,1,45,24,2-4-d,0
299,4,1,.2,1,0,,1,45,24,2-4-d,0
299,5,1,.43000001,1,0,,1,40,36,2-4-d,0
300,5,1,.31999999,1,0,,1,20,25,2-4-d,0
300,6,1,.31999999,1,0,,1,20,25,2-4-d,0
300,7,1,.47999999,1,0,,1,20,37.5,2-4-d,0
300,10,1,.23999999,1,0,,1,20,18.75,2-4-d,0
301,1,1,.25,1,.25,1,0,,20,2-4-d,0
301,1,2,.75,1,.75,1,0,,60,2-4-d,0
301,2,1,.5,1,.25,1,0,,20,2-4-d,0
302,1,1,.30000001,1,.1,1,1,20,24,2-4-d,0
302,2,1,.5,1,.15000001,1,1,20,24,2-4-d,0
302,3,1,.40000001,1,.15000001,1,1,20,36,2-4-d,0
302,9,1,.30000001,1,.1,1,1,20,24,2-4-d,0
303,1,1,.25,1,0,,1,45,20,2-4-d,50
304,2,1,.15000001,1,0,,0,,10,do not know,0
305,1,3,0,,0,,2,15,16,do not know,0
306,2,1,.25,1,0,,0,,10,2-4-d,0
306,3,1,.36000001,1,0,,0,,15,2-4-d,0
306,4,3,.36000001,1,0,,0,,15,2-4-d,0
307,1,1,0,,0,,1,35,16,2-4-d,8
308,1,1,.5,1,.5,1,1,30,30,2-4-d,9
309,1,1,.25,1,.25,1,0,,35,2-4-d,30
310,2,1,.15000001,1,0,,0,,15,2-4-d,0
310,4,1,.1,1,0,,0,,10,2-4-d,0
311,1,1,.63,1,0,,0,,40,2-4-d,50
311,2,1,.25,1,0,,0,,16,2-4-d,50
311,3,1,.25,1,0,,0,,16,2-4-d,50
312,1,1,.75,1,.5,1,1,40,36,2-4-d,24
312,1,2,.5,1,.30000001,1,1,45,24,2-4-d,24
312,2,1,0,,0,,1,45,24,2-4-d,24
312,3,1,0,,0,,1,45,24,2-4-d,24
313,1,1,.2,1,0,,1,40,16,2-4-d,0
313,2,1,.1,1,0,,1,40,8,2-4-d,0
313,3,1,.15000001,1,0,,1,40,12,2-4-d,0
313,4,1,.15000001,1,0,,1,40,12,2-4-d,0
313,5,1,.1,1,0,,1,40,8,2-4-d,0
314,4,1,.15000001,1,.050000001,1,1,30,10,2-4-d,0
314,5,1,.25,1,.050000001,1,1,30,20,2-4-d,0
314,7,1,.25,1,.050000001,1,1,30,20,2-4-d,0
314,10,1,.25,1,.050000001,1,1,30,20,2-4-d,0
315,1,1,1,1,0,,1,45,40,2-4-d,0
315,6,1,.5,1,.25,1,1,45,20,2-4-d,0
315,9,1,.5,1,.25,1,1,45,20,2-4-d,0
315,10,1,.5,1,.25,1,1,45,20,2-4-d,0
315,8,1,.25,1,.13,1,1,45,10,2-4-d,0
316,1,1,1,1,.5,1,1,21,65,2-4-d,0
316,2,1,.25,1,.25,1,1,21,26,2-4-d,0
316,3,1,.1,1,.1,1,1,21,13,2-4-d,0
317,1,3,.2,1,0,,1,40,10,2-4-d,0
317,3,1,.1,1,0,,0,,5,2-4-d,0
317,4,1,.2,1,0,,0,,10,2-4-d,0
318,3,1,.2,1,.1,1,1,30,70,2-4-d,0
318,6,1,.2,1,.1,1,1,35,70,2-4-d,0
319,2,1,.2,1,0,,1,45,65,2-4-d,0
320,2,1,.5,1,0,,0,,40,2-4-d,30
321,4,1,.1,1,.050000001,1,0,,75,do not know,20
322,1,1,.25,1,.25,2,1,40,35,2-4-d,30
322,2,1,.25,1,.25,2,1,40,35,2-4-d,30
322,3,1,.12,1,.1,2,1,40,20,2-4-d,20
322,4,1,.12,1,.1,2,1,40,20,2-4-d,20
323,5,1,.5,1,.5,1,1,45,25,2-4-d,0
323,7,1,.5,1,.5,1,1,50,25,2-4-d,0
324,1,1,.1,1,0,,1,30,10,2-4-d,0
324,4,1,.1,1,0,,1,30,10,2-4-d,0
325,2,1,.1,1,0,,0,,10,2-4-d,0
326,1,1,.2,1,.059999999,1,1,30,16,do not know,0
326,2,1,.2,1,.059999999,1,1,30,16,do not know,0
326,3,1,.2,1,.059999999,1,1,30,16,do not know,0
326,4,1,.2,1,.059999999,1,1,30,16,do not know,0
327,1,3,.25,1,.13,1,1,30,36,do not know,0
327,2,1,.13,1,.059999999,1,1,30,18,do not know,0
327,3,1,.13,1,.059999999,1,1,30,18,do not know,0
328,5,1,.25,1,.23999999,1,2,14,52,2-4-d,0
329,2,2,.2,1,0,,0,,10,2-4-d,0
330,2,1,0,,0,,1,15,10,2-4-d,0
331,2,1,.2,1,0,,0,,90,do not know,0
332,2,1,.2,1,0,,1,30,30,do not know,0
333,4,1,.12,1,0,,1,14,20,2-4-d,0
333,6,1,.25,1,0,,1,14,40,2-4-d,0
334,1,1,1,1,.30000001,1,3,15,24,2-4-d,0
335,5,1,.30000001,1,.30000001,1,3,3,32,2-4-d,0
336,1,1,.30000001,1,0,,1,25,30,none,0
337,1,2,.13,1,.050000001,1,1,30,16,do not know,0
338,1,4,.13,1,.050000001,1,3,20,10,do not know,0
338,2,1,.63,1,.25,1,3,20,55,do not know,0
338,3,1,.38,1,.15000001,1,3,20,30,do not know,0
338,4,1,.5,1,.15000001,1,3,20,30,do not know,0
338,5,1,.5,1,.2,1,3,20,40,do not know,0
339,2,1,.5,1,0,,0,,42,2-4-d,0
339,5,1,.15000001,1,0,,0,,14,2-4-d,0
340,1,1,.5,1,.25,1,2,20,20,do not know,0
340,2,1,.5,1,.15000001,1,2,20,20,do not know,0
340,4,1,.5,1,.15000001,1,2,20,20,do not know,0
341,4,1,.31999999,1,.16,1,0,,16,2-4-d,0
341,4,2,.80000001,1,.40000001,1,0,,40,2-4-d,0
341,7,1,.80000001,1,.40000001,1,0,,40,2-4-d,0
342,1,2,.2,1,0,,0,,8,do not know,0
342,2,2,.2,1,0,,0,,8,do not know,0
343,4,1,.37,1,0,,1,45,20,2-4-d,0
343,6,1,.37,1,0,,1,55,20,2-4-d,0
343,7,1,.5,1,0,,1,75,30,2-4-d,0
344,4,1,1,1,.5,1,1,35,48,2-4-d,0
344,5,1,1,1,.5,1,1,35,48,2-4-d,0
344,6,1,.5,1,.25,1,1,45,24,2-4-d,0
345,3,1,.30000001,1,0,,0,,30,2-4-d,0
345,3,2,.2,1,0,,0,,20,2-4-d,0
346,1,3,0,,0,,1,40,30,2-4-d,0
347,1,1,.2,1,0,,1,33,30,2-4-d,0
348,1,1,1,1,.75,1,2,60,0,,0
349,3,1,.25,1,0,,0,,13,do not know,0
350,3,1,.5,1,.25,1,3,30,0,,0
350,4,1,.25,1,.1,1,3,30,0,,0
351,3,1,.30000001,1,.1,1,1,60,20,2-4-d,0
352,3,1,.2,1,0,,1,40,36,2-4-d,0
353,1,1,.050000001,1,0,,1,30,10,do not know,0
353,2,1,.050000001,1,0,,1,45,10,do not know,0
37,2,1,.5,1,.27000001,2,1,50,0,,0
37,3,1,.30000001,1,.5,2,1,40,16,2-4-d,0
38,1,1,0,,0,,2,45,0,,0
39,1,1,.25,1,.40000001,1,2,7,0,,0
39,2,1,.15000001,1,.30000001,1,2,7,0,,0
39,5,1,.1,1,.30000001,1,2,7,0,,0
40,1,1,0,,0,,1,14,0,,0
41,2,1,0,,.25,1,2,22,0,,0
42,2,1,0,,0,,2,30,0,,0
43,2,2,.5,1,.5,2,1,35,24,2-4-d,0
44,2,2,.22,1,.30000001,2,2,21,0,,0
45,1,1,.15000001,1,.30000001,2,2,40,0,,0
45,2,1,.15000001,1,.30000001,2,2,40,0,,0
45,3,1,0,,0,,2,30,0,,0
46,3,1,.5,1,.5,2,1,45,24,2-4-d,0
46,4,1,.5,1,.5,2,1,45,24,2-4-d,0
47,3,1,.75,1,1.75,3,2,25,0,,0
48,1,2,.25,1,.5,2,3,40,0,,0
48,2,1,.25,1,.5,2,3,40,0,,0
49,1,1,1.45,1,.60000002,3,3,15,0,,0
49,2,1,.55000001,1,.69999999,3,3,15,0,,0
50,1,1,.15000001,1,.30000001,2,3,14,0,,0
50,5,1,.079999998,1,.079999998,2,3,14,0,,0
51,1,1,0,,0,,0,,0,,0
52,2,1,.5,1,.5,1,2,23,0,,0
53,5,1,.13,1,.25,2,3,20,0,,0
54,2,1,0,,.090000004,1,1,31,0,,0
55,4,1,0,,0,,2,30,0,,0
56,2,2,0,,.5,1,2,21,0,,0
57,2,1,.5,1,.5,2,2,21,0,,0
58,2,1,0,,0,,2,7,0,,0
59,1,1,.75,1,1,3,3,40,0,,0
59,3,1,.25,1,.5,3,3,45,0,,0
60,1,1,0,,0,,3,40,0,,0
60,4,1,0,,0,,3,40,0,,0
61,1,1,.15000001,1,.22,2,2,15,0,,0
61,5,1,.25,1,.25,2,3,14,0,,0
62,1,1,0,,.25,2,3,20,0,,0
62,2,1,0,,.25,2,3,20,0,,0
63,2,1,0,,0,,2,3,0,,0
64,3,1,0,,0,,3,10,0,,0
64,8,1,0,,.17,2,3,12,0,,0
65,4,1,.14,1,.34999999,2,2,10,0,,0
65,5,1,.14,1,.28,2,2,20,0,,0
66,2,1,.41999999,1,.56999999,2,1,50,0,,0
67,3,1,.5,1,.5,2,2,30,0,,0
68,1,2,.5,1,.5,1,1,14,27,do not know,0
68,5,1,.11,1,.11,1,1,50,18,do not know,0
69,5,1,.5,1,.5,1,2,30,0,,0
70,1,1,0,,0,,1,30,0,,0
71,2,1,.5,1,.5,2,2,40,0,,0
72,1,1,0,,0,,2,3,0,,0
73,1,1,.25,1,.25,3,2,30,0,,0
74,2,1,.5,1,.25,2,2,17,0,,0
74,4,1,0,,.30000001,2,2,20,0,,0
75,3,1,0,,0,,1,6,0,,0
76,3,1,.14,1,.14,1,2,28,0,,0
76,4,1,.20999999,1,.07,1,2,34,0,,0
76,5,1,.14,1,.14,1,2,0,0,,
77,2,1,.090000004,1,.28999999,3,1,31,0,,0
78,2,1,.25,1,.25,1,2,10,0,,0
78,3,1,.25,1,.25,1,2,20,0,,0
78,4,1,.5,1,.5,1,2,22,0,,0
79,2,2,.13,1,.13,1,1,30,0,,0
79,3,1,.25,1,.25,1,2,15,0,,0
80,1,1,0,,.33000001,2,2,15,0,,0
81,3,1,.15000001,1,.1,2,2,14,0,,0
82,1,2,0,,0,,2,7,0,,0
83,2,1,0,,.07,2,3,15,0,,0
83,4,1,.079999998,1,.15000001,2,3,15,0,,0
84,2,1,0,,.44999999,1,1,25,24,do not know,0
85,1,2,0,,0,,3,7,0,,0
86,3,1,0,,20,1,2,14,0,,0
86,6,1,0,,10,1,2,21,0,,0
87,2,1,.30000001,1,.22,1,1,30,6,do not know,0
88,1,1,.07,1,0,,1,30,0,,0
88,5,1,.5,1,.5,2,1,40,0,,0
89,3,1,.2,1,.30000001,2,2,14,0,,0
89,4,1,.30000001,1,.30000001,2,2,14,0,,0
90,3,1,.5,1,.5,1,1,21,0,,0
90,4,1,0,,.059999999,1,1,40,0,,0
91,2,1,.059999999,1,.18000001,2,2,25,0,,0
91,5,1,.029999999,1,.2,2,2,17,0,,0
91,7,1,.1,1,.30000001,2,2,18,40,do not know,0
91,8,1,.25,1,.5,2,1,45,0,,0
91,9,1,.029999999,1,.1,2,2,25,0,,0
92,1,3,.28999999,1,.23999999,2,2,17,15,do not know,0
92,3,1,.20999999,1,.07,1,1,19,5,do not know,0
92,5,1,.050000001,1,.0099999998,1,1,18,10,do not know,0
93,2,1,0,,0,,2,14,0,,0
93,3,1,0,,.17,1,3,7,0,,0
93,5,1,0,,0,,2,15,0,,0
94,2,2,.090000004,2,.02,2,2,30,0,,0
94,3,4,.11,2,.07,2,2,31,0,,0
94,4,1,.16,2,.14,2,2,29,0,,0
95,3,3,.20999999,1,.11,1,2,12,0,,0
95,4,1,.1,1,.059999999,1,2,16,0,,0
95,5,1,.1,1,.059999999,1,1,20,0,,0
96,3,2,.25,1,.25,2,2,21,12,do not know,0
96,4,1,.5,1,.5,2,3,14,0,,0
96,5,1,.5,1,.5,2,2,7,0,,0
97,2,1,0,,.18000001,2,3,7,0,,0
97,4,1,0,,.20999999,2,3,7,0,,0
97,6,1,0,,0,,3,7,0,,0
98,2,1,.5,1,.60000002,3,2,10,0,,0
98,3,1,.25,1,.5,1,1,10,0,,0
98,4,1,.5,1,.75,1,2,11,0,,0
99,1,1,.25,1,.5,2,2,21,0,,0
99,4,1,.5,1,.5,2,1,21,0,,0
99,5,1,.5,1,1,2,2,14,0,,0
100,1,1,0,,0,,2,7,0,,0
100,4,1,.059999999,1,.079999998,2,2,7,0,,0
100,5,1,0,,.30000001,2,1,14,0,,0
101,1,1,.5,1,.75,3,1,7,0,,0
101,2,1,.40000001,1,.25,3,1,7,0,,0
102,2,1,.5,1,.5,2,1,30,0,,0
102,5,1,.25,1,.25,2,2,25,0,,0
103,1,1,.5,2,1,5,2,14,0,,0
103,2,1,.25,2,.5,5,2,12,0,,0
103,3,1,.5,2,1,5,2,12,0,,0
103,4,1,.25,2,.5,5,2,14,0,,0
103,4,2,.25,2,.5,5,2,14,0,,0
104,1,1,.30000001,1,.25,2,3,21,0,,0
104,2,1,.30000001,1,.25,2,3,21,0,,0
105,1,1,.25,1,.25,2,2,21,0,,0
105,1,2,.13,1,.13,2,2,21,0,,0
106,2,1,.050000001,1,.090000004,2,1,21,0,,0
106,3,1,.11,1,.25999999,2,2,14,0,,0
107,2,1,0,,0,,2,7,0,,0
107,3,1,0,,0,,2,7,0,,0
108,1,1,0,,0,,3,2,0,,0
108,2,1,0,,.30000001,1,2,2,0,,0
108,3,1,0,,.2,1,2,3,0,,0
109,6,1,.12,1,.15000001,2,2,15,0,,0
110,1,1,.2,1,.15000001,3,2,5,0,,0
110,2,2,.2,1,.2,3,1,10,0,,0
110,3,1,.30000001,1,.30000001,3,1,16,0,,0
111,2,1,.5,1,0,,2,10,0,,0
111,3,1,.5,1,.5,2,1,4,0,,0
111,4,1,.5,1,.5,1,1,4,0,,0
112,1,1,.5,1,1,3,2,10,50,do not know,0
112,2,1,.5,1,.75,3,1,5,0,,0
112,3,1,.25,1,.5,2,2,15,0,,0
112,4,1,.25,1,.25,1,3,5,0,,0
113,5,1,1,1,.75,3,1,8,0,,0
113,6,1,.75,1,.75,3,1,8,0,,0
114,1,1,.5,1,.75,3,1,21,0,,0
114,3,1,.25,1,.5,2,2,14,0,,0
115,2,1,.33000001,1,.5,2,2,30,0,,0
115,3,1,.079999998,1,.25,2,2,32,0,,0
115,4,1,.33000001,1,.5,2,2,35,0,,0
116,1,1,.5,1,.5,2,2,30,0,,0
116,4,1,.25,1,.25,2,1,30,0,,0
117,3,2,.5,1,.5,2,1,30,0,,0
118,1,1,.17,1,.27000001,2,3,15,0,,0
118,4,1,.14,1,.18000001,3,2,10,0,,0
118,6,1,.28,1,.37,3,2,15,0,,0
118,7,1,.14,1,.18000001,2,3,15,0,,0
119,2,1,.15000001,1,.25,2,2,35,0,,0
119,3,1,.2,1,.5,2,2,25,0,,0
119,5,1,.15000001,1,.25,2,2,30,0,,0
120,2,1,0,,.25,1,2,25,0,,0
120,3,1,0,,.25,1,2,25,0,,0
1,4,1,.38,1,.38,2,2,30,0,,0
1,6,1,.19,1,.19,2,2,30,0,,0
1,7,1,.19,1,.19,2,1,30,0,,0
2,7,1,0,,0,,3,8,0,,0
2,8,1,0,,.17,2,3,8,0,,0
3,1,1,.25,1,.5,3,3,24,0,,0
3,4,1,.25,1,.5,3,3,14,10,do not know,0
3,6,1,.25,1,.5,3,3,25,0,,0
4,1,1,.5,1,.5,3,2,35,0,,0
4,2,1,.75,1,.75,3,2,45,0,,0
5,1,1,.25,1,1,3,2,35,0,,0
5,2,1,.25,1,.5,3,2,35,0,,0
5,4,1,.13,1,.25,3,2,35,0,,0
5,5,1,.25,1,.5,3,2,35,0,,0
5,9,1,.25,1,.5,3,2,35,0,,0
361,1,1,.5,1,.25,1,1,60,75,2-4-d,0
361,2,1,.5,1,0,,1,60,185,2-4-d,0
362,1,1,.25,1,.25,1,1,60,40,2-4-d,0
363,1,1,.5,1,0,,1,60,82,2-4-d,0
364,1,1,1,2,1,2,0,,40,do not know,40
364,2,1,1,2,1,2,0,,40,do not know,40
364,3,1,1,2,1,2,0,,60,do not know,0
364,8,1,1,2,1,2,0,,40,do not know,0
365,2,1,.5,2,.5,2,1,40,30,do not know,8
365,3,1,.25,2,.25,2,1,40,15,do not know,4
365,6,1,.25,2,.25,2,1,40,15,do not know,4
366,3,1,.5,3,.5,3,1,40,4,2-4-d,10
366,7,1,1,3,1,3,1,40,12,2-4-d,10
367,1,1,.25,1,.25,1,1,54,17,do not know,0
367,2,1,.5,1,.5,1,1,54,51,do not know,0
367,3,1,.15000001,1,.15000001,1,1,54,11,do not know,0
367,4,1,.1,1,.1,1,1,54,11,do not know,0
368,1,1,.25,1,.44999999,2,1,45,48,2-4-d,0
368,2,1,.15000001,1,.15000001,1,0,,40,2-4-d,0
368,3,1,.25,1,.25,1,0,,40,2-4-d,0
368,4,1,.25,1,.25,1,0,,60,2-4-d,0
369,1,1,0,,0,,1,60,40,2-4-d,0
369,2,1,.25,1,0,,1,60,40,2-4-d,0
370,1,1,.2,1,.07,1,1,60,28,2-4-d,0
370,2,1,.15000001,1,.059999999,1,1,60,28,2-4-d,0
370,3,1,.15000001,1,.059999999,1,1,60,28,2-4-d,0
371,1,1,.5,1,0,,1,60,80,do not know,0
371,2,1,.5,1,0,,1,60,80,do not know,0
372,1,1,.12,1,0,,1,60,40,2-4-d,0
372,2,1,.75,1,.25,1,1,60,120,2-4-d,0
372,3,1,.12,1,0,,1,60,30,2-4-d,0
373,1,1,.5,1,0,,1,60,65,2-4-d,0
373,2,1,.2,1,0,,1,60,65,2-4-d,0
374,1,1,.31999999,1,.34,1,1,49,34,2-4-d,0
374,2,1,.15000001,1,.15000001,1,1,49,23,2-4-d,0
374,3,1,.17,1,.18000001,1,1,53,23,2-4-d,40
375,4,1,.5,3,.5,3,1,40,20,do not know,25
375,7,1,1,3,1,3,1,40,60,do not know,75
375,8,1,.75,3,.75,3,1,40,70,do not know,50
375,9,1,.25,3,.25,3,1,40,20,do not know,25
375,10,1,.75,3,.75,3,1,40,40,do not know,50
376,1,1,.25,1,.25,1,1,40,12,2-4-d,24
376,2,1,.25,1,.25,1,1,40,12,2-4-d,24
376,3,1,.5,1,.5,1,1,46,24,2-4-d,48
376,4,1,.5,1,.5,1,1,46,24,2-4-d,48
376,5,1,1.5,1,.5,1,1,35,36,2-4-d,72
377,2,1,.75,1,.75,1,1,60,48,do not know,0
377,3,1,.25,1,.25,1,1,60,36,do not know,0
377,5,1,.1,1,.1,1,1,60,12,do not know,0
377,6,1,.15000001,1,.15000001,1,1,60,24,do not know,0
378,1,1,.2,3,.30000001,3,1,47,20,2-4-d,15
378,3,1,.2,3,.30000001,3,1,47,20,2-4-d,30
378,8,1,.30000001,3,.40000001,3,1,47,40,2-4-d,30
379,1,1,.30000001,1,.30000001,1,1,40,24,2-4-d,0
379,2,1,.30000001,1,.30000001,1,1,40,20,2-4-d,0
379,3,1,.2,1,.1,1,1,45,12,2-4-d,0
379,5,1,.2,1,.1,1,1,45,12,2-4-d,0
380,2,2,.1,1,.2,2,0,,16,2-4-d,0
381,1,1,.30000001,1,.30000001,2,0,,23,2-4-d,0
381,2,1,.2,1,.2,2,0,,13,2-4-d,0
382,1,1,.15000001,1,.30000001,2,0,,14,2-4-d,0
383,1,1,.1,1,.15000001,1,0,,0,,0
384,1,1,0,,0,,0,,0,,0
385,1,1,.2,2,.40000001,2,0,,30,do not know,8
385,2,1,.2,2,.40000001,2,0,,30,do not know,8
385,3,1,.1,2,.2,2,0,,15,do not know,4
386,4,1,.16,1,.16,2,0,,36,2-4-d,14
386,5,1,.16,1,.16,2,0,,24,2-4-d,14
386,6,1,.16,1,.16,2,0,,36,2-4-d,14
387,1,1,.5,2,.5,2,0,,10,2-4-d,0
387,2,1,1,2,1,2,0,,20,2-4-d,0
387,3,1,1,2,1,2,0,,20,2-4-d,0
387,4,1,.5,2,.5,2,0,,10,2-4-d,0
388,2,1,.25,1,.25,2,0,,36,2-4-d,0
388,3,1,.25,1,.25,2,0,,48,2-4-d,0
388,4,3,.25,1,.25,2,0,,48,2-4-d,0
388,7,1,.13,1,.13,2,0,,36,2-4-d,0
388,8,1,.13,1,.13,2,0,,18,2-4-d,0
389,1,1,.5,2,.5,2,0,,60,do not know,0
389,2,1,.25,2,.25,2,0,,30,do not know,0
389,3,1,.25,2,.25,2,0,,30,do not know,0
390,1,2,.25,2,.25,1,2,40,24,2-4-d,0
390,2,1,.25,2,.25,1,1,60,24,2-4-d,0
390,3,1,.1,2,.1,1,0,,12,2-4-d,0
390,5,1,.1,2,.1,1,1,40,12,do not know,0
390,6,1,.079999998,1,.1,2,0,,12,do not know,0
391,1,1,.25,1,.30000001,2,0,,20,other,48
391,2,1,.25,1,.30000001,2,0,,10,other,48
391,3,1,.25,1,.30000001,2,0,,10,other,48
391,7,1,.5,1,.5,2,0,,20,other,52
392,2,1,.15000001,1,.15000001,2,0,,12,do not know,24
392,4,1,.15000001,1,.15000001,2,0,,12,do not know,24
392,5,1,.25,1,.25,2,0,,24,do not know,48
392,7,1,.15000001,1,.15000001,2,0,,12,do not know,24
392,8,1,.25,1,.25,2,0,,24,do not know,24
392,9,1,.25,1,.25,2,0,,24,do not know,24
393,1,1,.30000001,1,.2,1,0,,25,2-4-d,60
393,3,1,.2,1,.15000001,1,0,,20,2-4-d,40
393,4,1,.2,1,.15000001,1,0,,20,2-4-d,40
394,1,1,0,,.1,1,0,,0,,0
394,2,1,0,,.2,1,0,,0,,0
394,5,1,0,,.2,1,0,,0,,0
395,4,1,.5,1,1,3,1,70,55,do not know,0
395,5,1,.5,1,.34999999,3,1,60,10,do not know,0
395,8,1,.15000001,1,.2,3,1,60,5,do not know,0
396,6,1,.25,2,.25,2,1,don't know,40,2-4-d,160
396,7,1,.13,2,.13,2,1,don't know,20,2-4-d,80
396,8,1,.13,2,.13,2,1,don't know,20,2-4-d,80
397,1,1,.75,2,.25,2,0,,40,2-4-d,175
397,2,1,.5,2,.25,2,0,,20,2-4-d,100
397,3,1,.5,2,.25,2,0,,20,2-4-d,100
398,2,1,.1,1,.12,2,2,40,31,other,0
398,4,1,.15000001,1,.2,2,3,30,44,other,0
398,5,1,.5,1,.5,2,3,30,55,other,0
398,6,1,.1,1,.1,2,2,30,22,other,0
399,1,1,.30000001,3,.15000001,3,0,,30,2-4-d,50
399,3,1,.30000001,3,.15000001,3,0,,30,2-4-d,50
399,6,1,.2,2,.1,2,0,,20,2-4-d,50
400,1,1,.25,2,.25,2,0,,80,2-4-d,0
400,2,1,.1,2,.1,2,0,,0,,
400,3,1,.15000001,2,.15000001,2,0,,20,2-4-d,50
400,4,1,.15000001,2,.15000001,2,0,,25,2-4-d,50
400,5,1,.1,2,.1,2,0,,0,,25
400,8,1,.25,2,.25,2,0,,25,2-4-d,100
400,9,1,0,,0,,0,,0,,25
6,1,1,1,2,1,3,2,25,0,,0
6,3,1,1,2,1.5,3,2,20,0,,0
7,1,1,.5,1,1,2,2,45,0,,0
7,3,1,.5,1,.75,2,1,45,0,,0
7,4,1,.25,2,.5,2,1,45,0,,0
7,5,1,.25,1,.25,2,1,45,0,,0
7,9,1,.5,1,.5,2,2,40,0,,0
8,1,1,.5,1,.5,3,1,15,0,,0
8,2,1,.25,1,.25,3,1,15,0,,0
8,4,1,.25,1,.5,3,1,15,0,,0
9,1,2,.5,1,.5,2,1,30,0,,0
9,3,1,.25,1,.25,2,1,45,0,,0
9,5,1,.25,1,.25,2,1,30,0,,0
9,6,1,.5,1,.5,2,2,15,0,,0
10,2,1,.5,2,.5,2,1,30,0,,0
10,3,1,.5,2,.5,2,9,32,0,,0
10,4,1,.25,2,.5,2,5,30,0,,0
10,6,1,.5,2,.5,2,11,24,0,,0
801,2,1,.25,2,.13,1,2,30,0,,0
801,3,1,.25,2,.13,1,2,30,0,,0
802,2,1,.13,1,0,,2,30,0,,0
802,3,1,.13,1,0,,2,30,0,,0
803,2,1,.25,1,0,,1,40,0,,0
804,3,1,.13,1,0,,1,40,0,,0
805,4,1,.25,1,0,,1,30,0,,0
806,2,1,0,,0,,2,35,0,,0
806,3,1,0,,0,,2,35,0,,0
806,4,1,0,,0,,2,35,0,,0
807,2,1,0,,.079999998,1,2,30,0,,0
808,3,1,.1,1,.029999999,1,1,45,0,,0
808,6,1,.30000001,1,.12,1,1,45,0,,0
809,1,3,0,,0,,1,30,38,do not know,0
809,4,1,.25,1,0,,1,30,0,,0
810,3,1,.25,1,.13,1,1,30,0,,0
811,2,1,.25,1,.25,1,2,30,0,,0
812,1,1,.25,1,.25,1,1,30,10,do not know,0
812,2,1,.25,1,.25,1,1,30,10,do not know,0
813,2,1,0,,0,,1,30,0,,0
814,2,1,0,,0,,1,21,0,,0
815,3,1,0,,.1,1,1,22,0,,0
